물질키_InChIKey14,Murcko골격,eye_구분,eye_출처,skin_구분,skin_출처,대표성분명,대표CAS,대표SMILES,등장제형수
CXENHBSYCFFKJS,__ACYCLIC__,,,,,Farnesene,,C=C/C(C)=C/C/C=C(\C)CCC=C(C)C,3
CZRVDACSCJKRFL,O=C(c1ccccc1)c1c[nH][nH]c1=O,,,,,Pyrasulfotole,365400-11-9,Cc1[nH]n(C)c(=O)c1C(=O)c1ccc(C(F)(F)F)cc1S(C)(=O)=O,4
DBMJMQXJHONAFJ,__ACYCLIC__,1,phase1,2,phase1,Sodium dodecyl sulfate,151-21-3,[Na+].CCCCCCCCCCCCOS([O-])(=O)=O,3
DDXLVDQZPFLQMZ,__ACYCLIC__,,,,,Dodecyltrimethylammonium chloride,,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],2
DEWSJDIJFWQLOA,C1=CC2c3ccccc3OCC2CC1,,,,,Δ9-THC Acetate,23132-17-4,CCCCCc1cc(OC(C)=O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,1
DHNRXBZYEKSXIM,O=c1ccs[nH]1,1,phase1,1,phase1,5-Chloro-2-methyl-3(2H)-isothiazolone,26172-55-4,CN1SC(Cl)=CC1=O,11
DJVKJGIZQFBFGS,__ACYCLIC__,2A,phase1,2,phase1,"N,N'-Bisacrylylcystamine",60984-57-8,C=CC(=O)NCCSSCCNC(=O)C=C,1
DKPFZGUDAPQIHT,__ACYCLIC__,,,,,n-Butyl Acetate,,CCCCOC(C)=O,1
DMSMPAJRVJJAGA,O=c1[nH]sc2ccccc12,1,팀원A,2,팀원A,"1,2-Benzisothiazolin-3-one",2634-33-5,O=C1NSC2=C1C=CC=C2,55
DNBMPXLFKQCOBV,c1ccc2[nH]cnc2c1,,,,,Debacarb,62732-91-6,CCOCCOCCOC(=O)Nc1nc2ccccc2[nH]1,1
DNIAPMSPPWPWGF,__ACYCLIC__,NC,팀원A,NC,팀원A,Propylene glycol 5-10,57-55-6,CC(O)CO,49
DNUAYCRATWAJQE,O=c1cccnn1-c1ccccc1,,,,,Flufenpyr-ethyl,188489-07-8,CCOC(=O)COc1cc(-n2ncc(C(F)(F)F)c(C)c2=O)c(F)cc1Cl,7
DOIRQSBPFJWKBE,c1ccccc1,,,,,Dibutyl Phthalate,,CCCCOC(=O)c1ccccc1C(=O)OCCCC,1
DOJDQRFOTHOBEK,__ACYCLIC__,,,,,1-Octen-3-yl acetate,,C=CC(CCCCC)OC(C)=O,2
DPXJVFZANSGRMM,__ACYCLIC__,NC,팀원A,NC,팀원A,CELLULOSE GUM,9004-32-4,CC(=O)O.O=CC(O)C(O)C(O)C(O)CO.[Na],2
DQKNFTLRMZOAMG,O=[n+]1cc[nH]c2ccccc21,,,,,"2,3-Bis(bromomethyl)quinoxaline-1,4-dioxide",18080-67-6,O=[n+]1c(CBr)c(CBr)n([O-])c2ccccc21,2
DQKWXTIYGWPGOO,c1ccccc1,NC,팀원A,NC,팀원A,Bromoxynil octanoate,1689-99-2,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,4
DSSYKIVIOFKYAU,O=C1CC2CCC1C2,,,,,D-Camphor,,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,2
DTDSAWVUFPGDMX,O=C1OC2(C=C1c1ccccc1)CCCCC2,,,,,Spirodiclofen,148477-71-8,CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,4
DTGKSKDOIYIVQL,C1CC2CCC1C2,,,,,Borneol,,CC1(C)C2CCC1(C)C(O)C2,3
DUFVKSUJRWYZQP,O=C1NCCS1,NC,팀원A,NC,팀원A,fosthiazate,98886-44-3,CCOP(=O)(SC(C)CC)N1CCSC1=O,3
DZNVIZQPWLDQHI,__ACYCLIC__,,,,,Citronellyl formate,,CC(C)=CCCC(C)CCOC=O,1
FAMPSKZZVDUYOS,C1=CCCC=CCCC=CC1,,,,,Humulene,,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,3
FARBQUXLIQOIDY,__ACYCLIC__,1,팀원A,1,팀원A,Dioctyldimethylammonium chloride,5538-94-3,[Cl-].CCCCCCCC[N+](C)(C)CCCCCCCC,4
FATBKZJZAHWCSL,c1ccncc1,NC,팀원A,NC,팀원A,"2,3,5,6-Tetrachloropyridine",2402-79-1,Clc1cc(Cl)c(Cl)nc1Cl,2
FCCCRBDJBTVFSJ,__ACYCLIC__,,,,,Isobutyric acid hydrazide (isobutyrohydrazide),3538-65-6,CCCC(=O)NN,1
FEWJPZIEWOKRBE,__ACYCLIC__,1,phase1,2,phase1,+/--tartaric acid >= 20 - <,,O=C(O)C(O)C(O)C(=O)O,2
FFSSWMQPCJRCRV,c1ccc2ncccc2c1,NC,phase1,NC,phase1,Quinclorac,84087-01-4,OC(=O)C1=C(Cl)C=CC2=CC(Cl)=CN=C12,7
FGBAVQUHSKYMTC,C(C=Cc1ccc2ccccc2[nH+]1)=Cc1ccccc1,,,,,Molecular Weight: 471.98,181885-68-7,CC[n+]1c(/C=C/C=C/c2ccc(N(C)C)cc2)ccc2cc(N(C)C)ccc21.[O-][Cl+3]([O-])([O-])[O-],1
FIPWRIJSWJWJAI,c1ccc2c(c1)OCO2,2,팀원A,NC,팀원A,Piperonyl butoxide,51-03-6,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,29
FIUFLISGGHNPSM,c1ccccc1,,,,,3-(4-Methoxyphenyl)propionic acid,,COc1ccc(CCC(=O)O)cc1,1
FJEJFOWXBCEFJR,[c]1ccc(Cc2cc[c]cc2)cc1,,,,,"4,4'-Methylenediphenyl",,[c]1ccc(Cc2cc[c]cc2)cc1,1
FOGYNLXERPKEGN,c1ccc(CCOc2ccccc2)cc1,,,,,Lignosulfonic acid,8062-15-5,COc1cc(CCCS(=O)(=O)O)ccc1OC(Cc1cccc(OC)c1O)CS(=O)(=O)O,2
FOUWCSDKDDHKQP,O=C1COc2ccc(N3C(=O)C4=C(CCCC4)C3=O)cc2N1,NC,팀원A,NC,팀원A,Flumioxazin,103361-09-7,FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2,4
FOXFZRUHNHCZPX,O=c1cnnc[nH]1,NC,팀원A,NC,팀원A,Metribuzin (active ingredient),21087-64-9,CSc1nnc(C(C)(C)C)c(=O)n1N,9
FQMZVFJYMPNUCT,__ACYCLIC__,,,,,Geranyl formate,,CC(C)=CCC/C(C)=C/COC=O,1
FQTLCLSUCSAZDY,__ACYCLIC__,2A,phase1,NC,phase1,Nerolidol,,C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,1
FUHMZYWBSHTEDZ,c1cnc(Oc2cccc(Oc3ncccn3)c2)nc1,2,팀원A,NC,팀원A,Bispyribac-sodium,125401-92-5,[Na+].COC1=CC(OC)=NC(OC2=CC=CC(OC3=NC(OC)=CC(OC)=N3)=C2C([O-])=O)=N1,8
FUWUEFKEXZQKKA,O=c1cccccc1,,,,,Hinokitiol,,CC(C)c1cccc(O)c(=O)c1,1
FWZTTZUKDVJDCM,C1CCC(OC2CCCO2)OC1,,,,,"Iron Oxide, Saccharated 0-4",8047-67-4,O.O.O.OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-],2
FXHOOIRPVKKKFG,__ACYCLIC__,,,,,Dimethylacetamide,127-19-5,CC(=O)N(C)C,1
FYQGBXGJFWXIPP,__ACYCLIC__,2,팀원A,NC,팀원A,s-Hydroprene,65733-18-8,CCOC(=O)/C=C(C)/C=C/C[C@@H](C)CCCC(C)C,2
FZXISNSWEXTPMF,c1ncncn1,NC,팀원A,NC,팀원A,Terbutylazine,5915-41-3,CCNC1=NC(NC(C)(C)C)=NC(Cl)=N1,4
GABUSZPTCJGKGB,c1ccccc1,,,,,MCPB sodium salt (active ingredient),6062-26-6,Cc1cc(Cl)ccc1OCCCC(=O)[O-].[Na+],2
GBOYJIHYACSLGN,O=C(NCc1ccccn1)c1ccccc1,NC,팀원A,NC,팀원A,Fluopicolide,239110-15-7,FC(F)(F)C1=CN=C(CNC(=O)C2=C(Cl)C=CC=C2Cl)C(Cl)=C1,2
GCKZANITAMOIAR,O=C1OC2CC(CC=CC(OC3CCC(OC4CCCCO4)CO3)CC=CC=C3COC4CC=CC1C34)OC1(C=CCCO1)C2.c1ccccc1,1,팀원A,NC,팀원A,Emamectin benzoate,155569-91-8,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](NC)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.O=C(O)c1ccccc1,6
GEZOTWYUIKXWOA,__ACYCLIC__,2,팀원A,2,팀원A,Copper(II) carbonate,1184-64-1,[Cu++].[O-]C([O-])=O,2
GFFXZLZWLOBBLO,C=C1CCOC1n1cccnc1=O,,,,,anhydrous,,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)/C2=C\F)c(=O)n1,2
GFHNAMRJFCEERV,__ACYCLIC__,,,,,Cobalt (II) Chloride Hexahydrate CoCl₂·6H₂O 237.93 g/mol,,O.O.O.O.O.O.[Cl-].[Cl-].[Co+2],2
GGKQIOFASHYUJZ,c1cnc2ncnn2c1,NC,팀원A,NC,팀원A,ametoctradin,865318-97-4,CCCCCCCCc1c(CC)nc2ncnn2c1N,8
GHPGOEFPKIHBNM,__ACYCLIC__,,,,,Antimony Trioxide Grp. 2B: Possible human carc. International Agency for Research on Cancer,1309-64-4,[O-2].[O-2].[O-2].[Sb+3].[Sb+3],2
GHVNFZFCNZKVNT,__ACYCLIC__,2,팀원A,2,팀원A,Capric Acid (Decanoic acid),334-48-5,CCCCCCCCCC(O)=O,4
GIRXTOSJOKKBHO,C1=CCCCC1,,,,,Ethyl beta-apo-8'-carotenoate,,CCOC(=O)/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,2
GKKDCARASOJPNG,C1OCOCOCO1,NC,phase1,NC,phase1,"2,4,6,8-Tetramethyl-1,3,5,7-tetroxocane",108-62-3,CC1OC(C)OC(C)OC(C)O1,9
GLBLPMUBLHYFCW,O=S(=O)(Nc1nc2ncccn2n1)c1cccnc1,NC,팀원A,NC,팀원A,Pyroxsulam,422556-08-9,COC1=NC2=NC(NS(=O)(=O)C3=C(OC)N=CC=C3C(F)(F)F)=NN2C(OC)=C1,4
GLZPCOQZEFWAFX,__ACYCLIC__,1,phase1,2,phase1,Geraniol 5.00,106-24-1,CC(C)=CCC/C(C)=C/CO,10
GMDAWUSGGYKEBW,__ACYCLIC__,,,,,"iso-Tridecyl alcohol, ethoxylated, phosphated (Poly(oxy-1,2-ethanediyl), alpha-isotridecyl-omega-hydroxy-, phosphate)",,CC(C)CCCCCCCCCCOCCO.O=P(O)(O)O,1
GNHDVXLWBQYPJE,O=c1cc[nH]c(=O)n1-c1ccccc1,NC,팀원A,NC,팀원A,Saflufenacil,372137-35-4,CC(C)N(C)S(=O)(=O)NC(=O)c1cc(-n2c(=O)cc(C(F)(F)F)n(C)c2=O)c(F)cc1Cl,9
GNSKLFRGEWLPPA,__ACYCLIC__,,,,,from Monopotassium Phosphate not listed,7778-77-0,O=P([O-])(O)O.[K+],5
GOENIMGKWNZVDA,O=C1CC2C(=CC3C4CC(OC5CCCCO5)CC4CCC23)C(=O)CC(OC2CCCCO2)CCCCO1,,,,,Spinetoram,,CCO[C@@H]1[C@@H](OC)[C@H](C)O[C@@H](OC2C[C@H]3CC[C@H]4C5CC(=O)O[C@@H](CC)CCC[C@H](O[C@H]6CC[C@H](N(C)C)[C@@H](C)O6)[C@@H](C)C(=O)C5=C[C@H]4[C@@H]3C2)[C@@H]1OC,4
GOFJDXZZHFNFLV,O=C(Nc1ccccc1)c1cn[nH]c1,NC,팀원A,NC,팀원A,Penflufen,494793-67-8,CC(C)CC(C)C1=CC=CC=C1NC(=O)C1=C(F)N(C)N=C1C,16
GOOHAUXETOMSMM,C1CO1,,,,,"1,2-Propylene oxide",75-56-9,CC1CO1,3
GPXLRLUVLMHHIK,O=C(Nc1ccccc1)Nc1ccncc1,,,,,Forchlorfenuron 1 not set not set,68157-60-8,O=C(Nc1ccccc1)Nc1ccnc(Cl)c1,2
GRWFGVWFFZKLTI,C1=CC2CC(C1)C2,1,phase1,2,phase1,(+-)-alpha-Pinene,80-56-8,CC1=CCC2CC1C2(C)C,17
GRYLNZFGIOXLOG,__ACYCLIC__,1,phase1,1,phase1,NITRIC ACID,7697-37-2,O=[N+]([O-])O,2
GSEJCLTVZPLZKY,__ACYCLIC__,2A,phase1,NC,phase1,Triethanolamine,,OCCN(CCO)CCO,1
GTIHEHGCHKJTCQ,c1ccc(Cc2ccccc2)cc1,,,,,"Benzene, 1-(1-methylethyl)-4-(1-phenylethyl)-",2320-06-1,CC(C)C1=CC=C(C=C1)C(C)C1=CC=CC=C1,1
GWEVSGVZZGPLCZ,__ACYCLIC__,NC,phase1,NC,phase1,Titanium dioxide <,13463-67-7,[O]=[Ti]=[O],9
GWHJZXXIDMPWGX,c1ccccc1,2,팀원A,2,팀원A,"1,2,4-Trimethylbenzene",95-63-6,Cc1ccc(C)c(C)c1,7
GYSSRZJIHXQEHQ,O=C(Nc1ccccc1)C1=COCCS1,NC,팀원A,NC,팀원A,carboxin,5234-68-4,CC1=C(C(=O)Nc2ccccc2)SCCO1,11
GYXHHICIFZSKKZ,__ACYCLIC__,2A,phase1,2,phase1,2-Mercaptoacetamide,758-08-7,NC(=O)CS,1
HAORKNGNJCEJBX,c1ccc(Nc2nccc(C3CC3)n2)cc1,,,,,mol,121552-61-2,Cc1cc(C2CC2)nc(Nc2ccccc2)n1,4
