Formulation_ID,product_name,n_ing,pct_sum_known_raw,pct_sum_known_fixed,n_pct_known_raw,n_pct_known_fixed,pct_status,rows_blanked,y_eye_bin,y_skin_bin,y_sens_bin
EyeIrritation6pack_PID801,Raid Roach & Ant Killer IV Plus,8,200.986,1.851,8,3,cross_source_block_split:ntp_ice,"idx0[master]""METIlYLCARBAMA'IE""=0.665(cross_source_block_dropped:ntp_ice_kept); idx1[master]""2,2-DIClll..OROVINYL DIME1HYL PHOSPHA'IE""=0.186(cross_source_block_dropped:ntp_ice_kept); idx2[master]'COMPOUNDS'=0.014(cross_source_block_dropped:ntp_ice_kept); idx3[master]'INERT INGREDIENTS: (CONTAINS PETROLEUM)'=99.135(cross_source_block_dropped:ntp_ice_kept); idx4[master]'Other/Inert Ingredients'=99.135(cross_source_block_dropped:ntp_ice_kept)",1.0,,
MIX379,Raid Roach & Ant Killer IV Plus,8,200.985,1.85,8,3,cross_source_block_split:ntp_ice,"idx0[master]""METIlYLCARBAMA'IE""=0.665(cross_source_block_dropped:ntp_ice_kept); idx1[master]""2,2-DIClll..OROVINYL DIME1HYL PHOSPHA'IE""=0.186(cross_source_block_dropped:ntp_ice_kept); idx2[master]'COMPOUNDS'=0.014(cross_source_block_dropped:ntp_ice_kept); idx3[master]'INERT INGREDIENTS: (CONTAINS PETROLEUM)'=99.135(cross_source_block_dropped:ntp_ice_kept); idx4[master]'Other/Inert Ingredients'=99.135(cross_source_block_dropped:ntp_ice_kept)",,0.0,
EyeIrritation6pack_PID972,The Andersons GC 0.077% Bifenthrin + 0.155% Imidacloprid Granular Insecticide,5,200.109,100.109,5,4,total_row_dropped,idx2[master]'TOTAL structions and exceptions pertaini'=100.0(total_row_dropped),1.0,,
EyeIrritation6pack_PID813,Regiment Herbicide,3,200.0,80.0,3,1,nonchem_name_blanked,idx1[master]'Other Ingredients'=20.0(nonchem_name_blanked); idx2[master]'Total'=100.0(nonchem_name_blanked),1.0,,
MIX525,Vitacon 100 Pro FS Fungicide,4,200.0,37.74,4,2,nonchem_name_blanked,idx2[master]'OTHER INGREDIENTS'=62.26(nonchem_name_blanked); idx3[master]'TOTAL'=100.0(nonchem_name_blanked),,1.0,
EyeIrritation6pack_PID1038,Vitacon 100 Pro FS Fungicide,4,200.0,37.74,4,2,nonchem_name_blanked,idx2[master]'OTHER INGREDIENTS'=62.26(nonchem_name_blanked); idx3[master]'TOTAL'=100.0(nonchem_name_blanked),0.0,,
MIX780,boron trifluoride-acetic acid complex,2,198.0,98.0,2,1,total_row_dropped,"idx0[master]'Borate(1-), bis(acetato-O)difluoro-, dih'=100.0(total_row_dropped)",,,
MIX49,Amtide Tebuconazole 45 WDG Fungicide,2,197.0,98.5,2,1,nonchem_name_blanked,idx0[master]'Concentration'=98.5(nonchem_name_blanked),,0.0,
MIX601,Tebuconazole Fungicide(97%),2,197.0,98.5,2,1,nonchem_name_blanked,idx0[master]'Concentration'=98.5(nonchem_name_blanked),,0.0,
MIX287,Lambda Cyhalothrin,2,197.0,98.5,2,1,nonchem_name_blanked,idx0[master]'Concentration'=98.5(nonchem_name_blanked),,1.0,
EyeIrritation6pack_PID356,DuPont DPX-MAT28 Herbicide,4,196.2,,4,0,unrecoverable_blanked,idx0[master]'Potassium salt of aminocyclopyrachlor'=25.0(unrecoverable_blanked); idx1[master]'Inert Ingredients'=75.0(unrecoverable_blanked); idx2[master]'Aminocyclopyrachlor'=21.2(unrecoverable_blanked); idx3[master]'Other/Inert Ingredients'=75.0(unrecoverable_blanked),1.0,0.0,
EyeIrritation6pack_PID952,Tebuconazole Fungicide(97%),2,195.5,97.0,2,1,nonchem_name_blanked,idx0[master]'Concentration'=98.5(nonchem_name_blanked),0.0,,
EyeIrritation6pack_PID77,Aminopyralid,4,195.3,42.1,4,2,nonchem_name_blanked+cross_source_block_split:master,idx2[master]'Balance'=57.9(nonchem_name_blanked); idx3[ntp_ice]'Aminopyralid'=95.3(cross_source_block_dropped:master_kept),1.0,,
EyeIrritation6pack_PID361,DuPont Prevathon Insect Control,3,195.0,100.0,3,2,nonchem_name_blanked,idx1[master]'Other Ingredients'=95.0(nonchem_name_blanked),0.0,0.0,
EyeIrritation6pack_PID993,Touchdown Diquat Home and Garden Concentrate,5,194.13,74.13,5,3,nonchem_name_blanked,idx0[master]'Diquat (present as w/v)'=20.0(nonchem_name_blanked); idx2[master]'Other inert ingredients secret To w/v'=100.0(nonchem_name_blanked),0.0,,
MIX109,Chateau Herbicide,4,190.0,50.0,4,1,cross_source_block_split:ntp_ice,"idx0[master]'Other, non-hazardous ingredients'=45.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'flumioxazin (ISO)'=50.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Other/Inert Ingredients'=45.0(cross_source_block_dropped:ntp_ice_kept)",,0.0,
EyeIrritation6pack_PID219,Chateau Herbicide,4,190.0,50.0,4,1,cross_source_block_split:ntp_ice,"idx0[master]'Other, non-hazardous ingredients'=45.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'flumioxazin (ISO)'=50.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Other/Inert Ingredients'=45.0(cross_source_block_dropped:ntp_ice_kept)",1.0,,
MIX799,sodium hydroxide/SMS (1:10),3,190.0,100.19,3,2,cross_source_block_split:ntp_ice,idx0[master]'Water'=89.81(cross_source_block_dropped:ntp_ice_kept),1.0,1.0,0.0
EyeIrritation6pack_PID997,Tradename for Dogs,5,185.89,50.89,5,2,cross_source_block_split:ntp_ice,idx0[master]'Methyl Methacrylate'=65.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Non-Hazardous Ingredients'=35.0(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Other/Inert Ingredients'=35.0(cross_source_block_dropped:ntp_ice_kept),1.0,,
MIX425,Pinoxaden,5,185.5,87.5,5,4,cross_source_block_split:master,idx4[ntp_ice]'Pinoxaden'=98.0(cross_source_block_dropped:master_kept),1.0,0.0,1.0
MIX333,Mon 8411,2,183.5,85.5,2,1,cross_source_block_split:ntp_ice,idx0[master]'Adipic Acid Monomethyl Ester'=98.0(cross_source_block_dropped:ntp_ice_kept),,0.0,
MIX781,butylamine (in ethanol/ethylene glycol;1:1),2,180.8,81.8,2,1,cross_source_block_split:ntp_ice,idx0[master]'Ethylene glycol monobutyl ether'=99.0(cross_source_block_dropped:ntp_ice_kept),,,
EyeIrritation6pack_PID674,Mon 8411,2,180.5,85.5,2,1,cross_source_block_split:ntp_ice,"idx0[master]'Hexanedioic acid, monomethyl ester'=95.0(cross_source_block_dropped:ntp_ice_kept)",1.0,,
EyeIrritation6pack_PID918,Suprend,3,180.0,80.0,3,2,total_row_dropped,idx0[master]'Free'=100.0(total_row_dropped),1.0,,
MIX609,Suprend,3,180.0,80.0,3,2,total_row_dropped,idx0[master]'Free'=100.0(total_row_dropped),,0.0,
EyeIrritation6pack_PID358,DuPont Fontelis Fungicide,3,179.6,100.0,3,2,nonchem_name_blanked,idx1[master]'Other Ingredients'=79.6(nonchem_name_blanked),0.0,0.0,0.0
EyeIrritation6pack_PID365,DuPont Vertisan Fungicide,3,179.4,100.0,3,2,nonchem_name_blanked,idx1[master]'Other Ingredients'=79.4(nonchem_name_blanked),1.0,0.0,
EyeIrritation6pack_PID414,F4113 EW Herbicide,7,177.08,,7,0,cross_source_block_split:master+unrecoverable_blanked,"idx0[master]'Naphtha (petroleum), heavy aromatic'=65.0(unrecoverable_blanked); idx1[master]'Carfentrazone-ethyl'=22.37(unrecoverable_blanked); idx2[master]'2-Methylnaphthalene'=18.0(unrecoverable_blanked); idx3[master]'Naphthalene'=10.0(unrecoverable_blanked); idx4[master]'1-Methylnaphthalene'=9.0(unrecoverable_blanked); idx5[master]'Benzenesulfonic acid, mono-C11-13-branch'=3.0(unrecoverable_blanked); idx6[ntp_ice]'Glyphosate isopropylamine'=49.71(cross_source_block_dropped:master_kept)",1.0,,
MIX193,Ethephon 3# Plant Regulator,3,175.0,75.0,3,2,total_row_dropped,idx1[master]'Other inert ingredients'=100.0(total_row_dropped),1.0,1.0,
EyeIrritation6pack_PID398,Ethephon 3# Plant Regulator,3,175.0,27.0,3,1,nonchem_name_blanked,idx0[master]'Chlorethephon w/v'=48.0(nonchem_name_blanked); idx1[master]'Other inert ingredients secret To w/v'=100.0(nonchem_name_blanked),1.0,1.0,
EyeIrritation6pack_PID349,DuPont Approach Prima Fungicide,4,174.89,100.0,4,3,nonchem_name_blanked,idx2[master]'Other Ingredients'=74.89(nonchem_name_blanked),0.0,0.0,1.0
EyeIrritation6pack_PID87,Aproach Fungicide,4,174.89,100.0,4,3,nonchem_name_blanked,idx2[master]'Other Ingredients'=74.89(nonchem_name_blanked),0.0,0.0,1.0
EyeIrritation6pack_PID760,Pinoxaden,5,173.0,75.0,3,2,cross_source_block_split:master,idx4[ntp_ice]'Pinoxaden'=98.0(cross_source_block_dropped:master_kept),1.0,1.0,1.0
EyeIrritation6pack_PID765,Polyphase 663,5,173.0,100.0,5,4,nonchem_name_blanked,idx3[master]'Other ingredients'=73.0(nonchem_name_blanked),1.0,1.0,0.0
MIX337,Micromite 80WG,4,166.0,86.0,4,3,duplicate_dropped,idx3[ntp_ice]'Diflubenzuron'=80.0(duplicate_dropped),1.0,0.0,
EyeIrritation6pack_PID661,Micromite 80WG,4,166.0,86.0,4,3,cross_source_block_split:master,idx3[ntp_ice]'Diflubenzuron'=80.0(cross_source_block_dropped:master_kept),1.0,,
EyeIrritation6pack_PID549,"Imidacloprid + Tau-fluvalinate + Tebuconazole Ready-to-Use Insecticide, Miticide and Fungicide",6,160.541,60.541,6,4,nonchem_name_blanked,idx0[master]'Tebuconazole w/w'=39.5(nonchem_name_blanked); idx1[master]'Other ingredientsw/w'=60.5(nonchem_name_blanked),0.0,,
MIX334,Mon 8434 Herbicide,7,159.3,60.3,7,2,nonchem_name_blanked,"idx0[master]'Butan-2-one w/w'=55.0(nonchem_name_blanked); idx1[master]'fatty acids, C18-unsatd., dimers, reacti'=34.0(nonchem_name_blanked); idx2[master]'Propan-2-ol w/w'=5.0(nonchem_name_blanked); idx3[master]'butan-1-ol w/w'=4.0(nonchem_name_blanked); idx4[master]'triethylenetetramine w/w'=1.0(nonchem_name_blanked)",,0.0,1.0
EyeIrritation6pack_PID675,Mon 8434 Herbicide,7,159.3,60.3,7,2,nonchem_name_blanked,"idx0[master]'Butan-2-one w/w'=55.0(nonchem_name_blanked); idx1[master]'fatty acids, C18-unsatd., dimers, reacti'=34.0(nonchem_name_blanked); idx2[master]'Propan-2-ol w/w'=5.0(nonchem_name_blanked); idx3[master]'butan-1-ol w/w'=4.0(nonchem_name_blanked); idx4[master]'triethylenetetramine w/w'=1.0(nonchem_name_blanked)",1.0,,1.0
EyeIrritation6pack_PID602,Liberty ATZ Herbicide,4,158.25,100.0,4,3,nonchem_name_blanked,idx2[master]'Other ingredients'=58.25(nonchem_name_blanked),1.0,,
MIX702,NUP-12004 Herbicide,3,158.2,60.2,3,2,cross_source_block_split:ntp_ice,idx0[master]'Ethylene sulfite (Glycol sulfite)'=98.0(cross_source_block_dropped:ntp_ice_kept),,,
EyeIrritation6pack_PID1027,V-10142 Herbicide,5,157.93,82.93,5,4,cross_source_block_split:master,idx4[ntp_ice]'Imazosulfuron'=75.0(cross_source_block_dropped:master_kept),1.0,1.0,0.0
MIX818,60/40 Octanoic/decanoic acid,3,156.0,,2,0,unrecoverable_blanked,idx1[ntp_ice]'Octanoic acid (unverified - not present '=60.0(unrecoverable_blanked); idx2[ntp_ice]'Decanoic acid (Capric acid)'=96.0(unrecoverable_blanked),1.0,1.0,
EyeIrritation6pack_PID560,Ironclad Herbicide,3,155.0,75.0,3,2,cross_source_block_split:ntp_ice,"idx0[master]'Distillates (petroleum), hydrotreated li'=80.0(cross_source_block_dropped:ntp_ice_kept)",1.0,0.0,0.0
MIX819,55/45 Octanoic/decanoic acid,3,151.0,,2,0,unrecoverable_blanked,idx1[ntp_ice]'Octanoic acid (unverified - not present '=55.0(unrecoverable_blanked); idx2[ntp_ice]'Decanoic acid (Capric acid)'=96.0(unrecoverable_blanked),1.0,1.0,
MIX410,Rotam Thifensulfuron-methyl,3,150.0,100.0,3,2,nonchem_name_blanked,idx1[master]'Other Ingredients'=50.0(nonchem_name_blanked),,0.0,
EyeIrritation6pack_PID832,Rotam Thifensulfuron-methyl,3,150.0,100.0,3,2,nonchem_name_blanked,idx1[master]'Other Ingredients'=50.0(nonchem_name_blanked),1.0,,
MIX526,TSS 75WG (CGA 362622 WG 75),2,150.0,75.0,2,1,cross_source_block_split:ntp_ice,idx0[master]'0.2 mg/M3 0.2 mg/M3 N/A No'=75.0(cross_source_block_dropped:ntp_ice_kept),0.0,0.0,1.0
EyeIrritation6pack_PID907,Strada XT,8,150.0,100.0,5,4,nonchem_name_blanked,"idx0[master]'CAS Name: Benzamide, 2-[[[[[(4,6-dimetho'=50.0(nonchem_name_blanked)",1.0,,1.0
EyeIrritation6pack_PID253,Co-Ral 25% Wettable Powder,3,150.0,50.0,3,2,nonchem_name_blanked,idx1[master]'TOTAL'=100.0(nonchem_name_blanked),1.0,,
MIX119,Co-Ral 25% Wettable Powder,3,150.0,50.0,3,2,nonchem_name_blanked,idx1[master]'TOTAL'=100.0(nonchem_name_blanked),1.0,0.0,
EyeIrritation6pack_PID1009,TSS 75WG (CGA 362622 WG 75),2,150.0,75.0,2,1,cross_source_block_split:ntp_ice,idx0[master]'0.2 mg/M3 0.2 mg/M3 N/A No'=75.0(cross_source_block_dropped:ntp_ice_kept),0.0,0.0,1.0
EyeIrritation6pack_PID457,Fluopicolide,2,149.8,98.8,2,1,cross_source_block_split:ntp_ice,idx0[master]'trifluoromethyl)-2- (trifluoromethyl'=51.0(cross_source_block_dropped:ntp_ice_kept),0.0,,
EyeIrritation6pack_PID360,DuPont Prequel Herbicide,6,149.0,100.0,6,5,nonchem_name_blanked,idx4[master]'Other Ingredients'=49.0(nonchem_name_blanked),1.0,0.0,
EyeIrritation6pack_PID990,Tops MZ-Curzate,5,148.5,8.5,5,2,nonchem_name_blanked+cross_source_block_split:ntp_ice,idx0[master]'Cymoxanil'=60.0(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Other Ingredients'=40.0(nonchem_name_blanked); idx2[master]'Other/Inert Ingredients'=40.0(cross_source_block_dropped:ntp_ice_kept),1.0,,
EyeIrritation6pack_PID363,DuPont Steadfast Q Herbicide,8,147.1,99.7,8,7,nonchem_name_blanked,idx5[master]'Other Ingredients'=47.4(nonchem_name_blanked),1.0,0.0,0.0
MIX481,Super K-Gro Malathion 50 Insect Spray,2,147.0,50.0,2,1,nonchem_name_blanked,idx0[master]'Concentration'=97.0(nonchem_name_blanked),,1.0,
EyeIrritation6pack_PID915,Super K-Gro Malathion 50 Insect Spray,2,147.0,50.0,2,1,nonchem_name_blanked,idx0[master]'Concentration'=97.0(nonchem_name_blanked),1.0,,
MIX1063,Camphor oil white,12,146.76,,12,0,unrecoverable_blanked,"idx0[master]'1,8-Cineole'=39.0(unrecoverable_blanked); idx1[master]'(+)-Limonene'=36.0(unrecoverable_blanked); idx2[master]'(+-)-alpha-Pinene'=17.0(unrecoverable_blanked); idx3[master]'P-Cymene'=7.0(unrecoverable_blanked); idx4[master]'Gamma-Terpinene'=5.25(unrecoverable_blanked); idx5[master]'Beta-Pinene'=9.0(unrecoverable_blanked); idx6[master]'alpha-PHELLANDRENE'=4.0(unrecoverable_blanked); idx7[master]'Myrcene'=8.0(unrecoverable_blanked); idx8[master]'Sabinene'=12.0(unrecoverable_blanked); idx9[master]'Terpinolene'=5.0(unrecoverable_blanked); idx10[master]'Alpha-Terpineol'=1.51(unrecoverable_blanked); idx11[master]'Terpinen-4-ol'=3.0(unrecoverable_blanked)",1.0,1.0,1.0
EyeIrritation6pack_PID903,Starane NXT Herbicide,7,146.54,46.52,7,2,cross_source_block_split:ntp_ice,"idx0[master]'Fluoroxypyr-meptyl (ISO)'=45.52(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Solvent naphtha (petroleum), heavy arom'=1.65(cross_source_block_dropped:ntp_ice_kept); idx2[master]'Benzenesulfonic acid, mono-C11-13'=3.0(cross_source_block_dropped:ntp_ice_kept); idx3[master]'N-methyl-2-pyrrolidone'=0.5(cross_source_block_dropped:ntp_ice_kept); idx4[master]'Balance Not available'=49.349999999999994(cross_source_block_dropped:ntp_ice_kept)",1.0,,1.0
EyeIrritation6pack_PID328,Diuron Herbicide,3,145.2,98.5,3,1,nonchem_name_blanked+cross_source_block_split:ntp_ice,"idx0[master]'Diuron 3-(3,4-dichlorophenyl)-1,1-dimeth'=40.7(cross_source_block_dropped:ntp_ice_kept); idx1[master]'Proprietary solvent'=6.0(nonchem_name_blanked)",0.0,0.0,
EyeIrritation6pack_PID772,Preventol BIT 20N,10,144.295,44.295,10,9,total_row_dropped,idx1[master]'Neat'=100.0(total_row_dropped),1.0,,
MIX360,Preventol BIT 20N,10,143.795,43.795,10,9,total_row_dropped,idx1[master]'Neat'=100.0(total_row_dropped),,1.0,
EyeIrritation6pack_PID81,Amtide Tebuconazole 45 WDG Fungicide,2,143.5,45.0,2,1,nonchem_name_blanked,idx0[master]'Concentration'=98.5(nonchem_name_blanked),1.0,,
MIX162,Dropp SC Cotton Defoliant,6,143.145,43.145,6,5,nonchem_name_blanked,idx5[master]'Other ingredients (non-hazardous)'=100.0(nonchem_name_blanked),,0.0,0.0
EyeIrritation6pack_PID574,Klean-Pik 500 SC,3,142.4,42.4,3,1,cross_source_block_split:ntp_ice,"idx0[master]'N’-1,2,3-thiadiazol-5-ylurea'=42.4(cross_source_block_dropped:ntp_ice_kept); idx1[master]'INERT INGREDIENTS:. . . . . . . . . . . '=57.6(cross_source_block_dropped:ntp_ice_kept)",0.0,,
