no,sheet,fid,ep,우선순위,현재라벨,★판정,★확정라벨,★근거출처,★확인한원문쪽수,★검토자,★검토일,★메모,SDS_Section2_분류,SDS_Section11_해당항목,SDS실제입장,신뢰도
12,A,EyeIrritation6pack_PID669,눈자극,T1,2B,유지,2B,ntp_measured(NTP ICE EPA in vivo Draize),"p.1-2(Sec2), p.10(Sec11)",AI판정,2026-08-30,"제품은 Mon 37500(설포술푸론 75%), PDF는 ""ASF-Gasoline"" 휘발유 SDS(부자재 ETBE/헥산으로 오매칭). ""Test data are not available for the complete mixture"" 명시. 완전 불일치 문서.","2.1 Classification according to Regulation (EC) No 1272/2008 (CLP): flammable liquid 1 Flam. Liq. 1 H224; skin corrosion/irritation 2 Skin Irrit. 2 H315; STOT SE 3 H336; aspiration hazard 1 Asp. Tox. 1 H304; Aquatic Chronic 2 H411 / Hazard statements H224, H304, H315 Causes skin irritation, H336, H411",Test data are not available for the complete mixture. / Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,시험후_음성,높음
13,A,EyeIrritation6pack_PID690,눈자극,T1,2A,유지,2A,"ntp_measured(NTP ICE EPA in vivo Draize, EPA eye cat 2)","p.1-2(Sec2), p.9(Sec11)",AI판정,2026-08-30,"제품은 Nemathorin 500EC(포스티아제이트 47.2%), PDF는 NEMATHORIN 10 G(10% 입제) SDS. 10G 는 제품 수준 토끼 시험 ""No eye irritation"" 이지만 유효성분 농도가 4.7배 낮은 다른 제형이다.","2.1 Classification of the substance or mixture / Classification (REGULATION (EC) No 1272/2008): Acute toxicity, Category 3 H301: Toxic if swallowed.; Long-term (chronic) aquatic hazard, Category 2 H411 / Supplemental Hazard Statements: EUH070 Toxic by eye contact.; EUH208 Contains fosthiazate. May produce an allergic reaction.",Serious eye damage/eye irritation / Product: Species : Rabbit Result : No eye irritation / Components: fosthiazate (ISO): Species : Rabbit Result : No eye irritation,시험후_음성,높음
14,A,EyeIrritation6pack_PID694,눈자극,T1,2A,유지,2A,"ntp_measured(NTP ICE EPA in vivo Draize, 2 records, EPA eye cat 2)","p.1-2(Sec2), p.10-11(Sec11)",AI판정,2026-08-30,"제품은 NEU1171H(말레산 히드라지드 3%), PDF는 도료 ""SIGMADUR ONE (TINTED)"" SDS(부자재 1-메톡시-2-프로판올/코발트 네오데카노에이트로 오매칭). 완전 불일치.","2.1 Classification of the substance or mixture / Classification according to Regulation (EC) No. 1272/2008 [CLP/GHS]: Flam. Liq. 3, H226 / STOT SE 3, H336 / Hazard statements: Flammable liquid and vapour. May cause drowsiness or dizziness. / Supplemental label elements: Repeated exposure may cause skin dryness or cracking. Contains neodecanoic acid, cobalt salt. May produce an allergic reaction.","Irritation/Corrosion / Skin : Based on available data, the classification criteria are not met. / Eyes : Based on available data, the classification criteria are not met.",시험후_음성,높음
15,A,EyeIrritation6pack_PID800,눈자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 4 records, EPA eye cat 3)","p.1(Sec2), p.5(Sec11)",AI판정,2026-08-30,"제품은 Raid Ant & Roach Killer with Germ Kill CIK(퍼메트린 0.2%/PBO 0.2%/2-페닐페놀 0.1%), PDF는 경쟁사 유사제품 ""Hot Shot Ant & Roach Plus Germ Killer2""(사이퍼메트린/프랄레트린/4급암모늄) SDS. Hot Shot 은 제품 EPA 시험 ""Non-irritating(cat IV)"" 이지만 조성이 다르다. CT가산=NC 와 라벨 bin1 모순 존재.",Section 2 - Hazards Identification / GHS Classification of Substance or Mixture: Flammable aerosol - Category 2 / Signal word: WARNING / Hazard statements: Flammable aerosol; Compressed gas - contents under pressure; may burst if heated; May cause an allergic skin reaction,Primary eye irritation: Non-irritating (EPA tox. category IV),시험후_음성,중간
16,A,EyeIrritation6pack_PID838,눈자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 2 records)","p.1-2(Sec2), p.6(Sec11)",AI판정,2026-08-30,"제품은 S-Metolachlor & Mesotrione 혼합제, PDF는 S-Metolachlor 단일물질 SDS. 메소트리온 3.68% 가 문서에 없다.",2.1 Classification according to Regulation (EC) No 1272/2008 (CLP): skin sensitisation 1 Skin Sens. 1 H317; Aquatic Acute 1 H400; Aquatic Chronic 1 H410 / Hazard statements H317 May cause an allergic skin reaction. H410,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,시험후_음성,중간
17,A,EyeIrritation6pack_PID860,눈자극,T1,2B,유지,2B,ntp_measured(NTP ICE EPA in vivo Draize),"p.1(Sec2), p.3-4(Sec11)",AI판정,2026-08-30,"제품은 Scimitar GR Insecticide(람다-사이할로트린 0.045% 입제), PDF는 SCIMITAR CS(9.7% CS) SDS. CS 는 완제품 토끼시험 ""Eye Contact: Non-Irritating"" 이지만 제형/농도가 다르다. 고농도 CS 가 비자극인데 저농도 GR 이 NTP 2B 인 점은 NTP 레코드 자체의 재검토 여지로 기록.","2. HAZARDS IDENTIFICATION / Health and Environmental: Harmful if inhaled. May be harmful in contact with skin. May cause an allergic skin reaction. Causes mild skin irritation. Vapors may cause drowsiness and dizziness. May be harmful if swallowed and enters airway. May cause temporary itching, tingling, burning or numbness of exposed skin, called paresthesia.",Acute Toxicity/Irritation Studies (Finished Product) / Eye Contact: Non-Irritating (Rabbit) / Skin Contact: Practically Non-Irritating (Rabbit),시험후_음성,중간
18,A,EyeIrritation6pack_PID960,눈자극,T1,2B,유지,2B,ntp_measured(NTP ICE EPA in vivo Draize),"p.1-2(Sec2), p.11(Sec11)",AI판정,2026-08-30,"제품은 Tempo 0.1 Granular Insecticide, PDF는 TEMPO RESIDUAL INSECTICIDE SDS(동일 브랜드 다른 제형). 눈 항목은 ""Not classified based on available information"" 으로 제품 시험자료 없이 성분 근거 판단이며, 성분 중 (Benzyloxy)methanol 은 ""Irreversible effects on the eye"".",SECTION 2. HAZARDS IDENTIFICATION / GHS Classification: Acute toxicity (Oral) : Category 4 / Carcinogenicity : Category 1B / Effects on or via lactation / Hazard statements: H302 Harmful if swallowed. H350 May cause cancer. H362 May cause harm to breast-fed children.,Serious eye damage/eye irritation / Not classified based on available information. / Components: Glycerine: Species : Rabbit Result : No eye irritation ... (Benzyloxy)methanol: Species : Rabbit Result : Irreversible effects on the eye,시험후_음성,중간
19,A,EyeIrritation6pack_PID978,눈자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 4 records)","p.1(Sec2), p.2(Sec11)",AI판정,2026-08-30,"제품은 Three Way Peanut Seed Treatment Fungicide(캡탄 48.9%+트리플록시스트로빈+메탈락실), PDF는 TRIO EXTRA SEED TREATMENT FUNGICIDE(아족시스트로빈/플루디옥소닐/메페녹삼) SDS 로 유효성분이 전혀 다르다. 캡탄 48.9% 는 통상 눈자극. CT가산=NC 모순.",2. HAZARDS IDENTIFICATION SUMMARY / KEEP OUT OF REACH OF CHILDREN - CAUTION - Harmful if swallowed. Causes mild skin irritation. Wash thoroughly with soap and water after handling.,11. TOXICOLOGICAL INFORMATION / Eye Irritation (rabbit): Non-irritating. / Skin Irritation (rabbit): Practically non-irritating / Skin Sensitization (guinea pig): Not a sensitizer,시험후_음성,중간
20,A,MIX342,피부자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 2 records, EPA skin cat 3)","p.1-2(Sec2), p.9(Sec11)",AI판정,2026-08-30,"제품은 Nemathorin 500EC(포스티아제이트 47.2%), PDF는 NEMATHORIN 10 G(10%) SDS. 10G 제품 시험은 ""No skin irritation"" 이나 농도가 4.7배 낮은 다른 제형.","2.1 Classification of the substance or mixture / Classification (REGULATION (EC) No 1272/2008): Acute toxicity, Category 3 H301: Toxic if swallowed.; Long-term (chronic) aquatic hazard, Category 2 H411 / Supplemental Hazard Statements: EUH070 Toxic by eye contact.; EUH208 Contains fosthiazate. May produce an allergic reaction.",Skin corrosion/irritation / Product: Species : Rabbit Result : No skin irritation / Components: fosthiazate (ISO): Species : Rabbit Result : No skin irritation,시험후_음성,높음
21,A,MIX378,피부자극,T1,2A,유지,2A,"ntp_measured(NTP ICE EPA in vivo Draize, 8 records, EPA skin cat 2)","p.1(Sec2), p.5(Sec11)",AI판정,2026-08-30,"제품은 Raid Ant & Roach Killer with Germ Kill CIK, PDF는 다른 제품(Hot Shot). Hot Shot 의 ""Primary skin irritation: Non-irritating (EPA tox. category IV)"" 는 조성이 다른 제품의 시험. NTP 실측 8건 기반 2A 유지.",Section 2 - Hazards Identification / GHS Classification of Substance or Mixture: Flammable aerosol - Category 2 / Signal word: WARNING / Hazard statements: Flammable aerosol; Compressed gas - contents under pressure; may burst if heated; May cause an allergic skin reaction,Primary skin irritation: Non-irritating (EPA tox. category IV) / Sensitization: May cause allergic reaction after repeated contact.,시험후_음성,중간
22,A,MIX54,피부자극,T1,2B,유지,2B,"ntp_measured(NTP ICE EPA in vivo Draize, 2 records)","p.2-3(Sec2), p.11-12(Sec11)",AI판정,2026-08-30,"제품은 BAS 500 F Manufacturing Use Product(피라클로스트로빈 98%), PDF는 사료첨가제 ""Lucantin Yellow 10% NXT"" SDS. 성분_상위6(BHT/프로필갈레이트/아스코르빌팔미테이트 등)은 Lucantin 성분으로, 성분표 병합 결함 의심. 문서 불일치이므로 NTP 실측 유지.","2.1. Classification of the substance or mixture / According to Regulation (EC) No 1272/2008 [CLP]: Eye Dam./Irrit. 2 H319 Causes serious eye irritation.; Skin Sens. 1 H317 May cause an allergic skin reaction.; Aquatic Chronic 2 H411 / Hazard Statement: H319, H317, H411",Irritation / Assessment of irritating effects: Causes serious eye irritation. Not irritating to the skin.,시험후_음성,높음
23,A,EyeIrritation6pack_PID1039,눈자극,T2,NC,유지,NC,"ntp_measured(NTP ICE EPA in vivo Draize, 3 records, ""Not classified"")","p.1(Sec2), p.4(Sec11)",AI판정,2026-08-30,"채택출처가 ntp_measured 이고 NTP ICE 제품 in vivo Draize 결과 자체가 Not classified 이다. 해석된 PDF(Shar-Teb 3.6FL, 테부코나졸)는 제품(Vitacon RTU FL)과 불일치하지만 판정에 영향 없음. sec11 주장 2B 는 근거 문서 불명.",2. Hazard Identification / 2.1 Classification of the substance according to Regulation 1910.1200 [GHS]: Acute Tox. 4 - Oral (H302 - Harmful if swallowed); Repro. Toxicity - 2 (H361 - Suspected to damaging the unborn child); Aquatic Chronic 2 (H411),11.1 Information on toxicological effects: (b) skin corrosion/irritation: not irritant / (c) serious eye damage/irritation: not irritant / (d) respiratory or skin sensitization: Not sensitizing,시험후_음성,높음
24,A,MIX142,눈자극,T2,NC,수정,1,"동일 제품(Decis 1.0 Gel) 다른 레코드 EyeIrritation6pack_PID301 의 ntp_measured=1 (NTP ICE EPA in vivo Draize, EPA eye cat 1)","p.1-2(Sec2), p.6(Sec11)",AI판정,2026-08-30,"현재 NC 는 sds_v1 채택 결과인데 그 근거 PDF 가 부자재 1-Decene SDS 다. 동일 제품(Decis 1.0 Gel, 델타메트린 11.7%)이 PID301 로 중복 수록되어 있고 거기에는 NTP ICE in vivo Draize 눈 = 1 이 붙어 있다. 동일 제품에 상반된 라벨이 공존하는 명백한 오류.",SECTION 2: Hazards identification / GHS Label elements / Signal word Danger / Hazard statements: H226 Flammable liquid and vapour; H304 May be fatal if swallowed and enters airways; H315 Causes skin irritation; H410 Very toxic to aquatic life with long lasting effects,Serious eye damage/eye irritation / Eyes - Rabbit / Result: No eye irritation,시험후_음성,높음
25,A,MIX217,눈자극,T2,NC,수정,1,동일 제품(Folicur 1.2 EC) 다른 레코드 EyeIrritation6pack_PID467 의 ntp_measured=1,"p.1-2(Sec2), p.5-6(Sec11)",AI판정,2026-08-30,"현재 NC 의 근거 PDF 는 Sigma 테부코나졸 순물질 SDS(""Eyes - rabbit Result: No eye irritation"")로 EC 제형이 아니다. 동일 제품 PID467 에는 NTP ICE in vivo Draize 눈 = 1(EPA cat 1). 중복 레코드 간 라벨 불일치.","2.1 Classification of the substance or mixture / GHS Classification in accordance with 29 CFR 1910 (OSHA HCS): Acute toxicity, Oral (Category 4), H302; Reproductive toxicity (Category 2), H361; Acute aquatic toxicity (Category 2), H401; Chronic aquatic toxicity (Category 2), H411",Serious eye damage/eye irritation / Eyes - rabbit / Result: No eye irritation,시험후_음성,높음
26,A,MIX23,눈자극,T2,NC,수정,2B,동일 제품(Acephate 98.6%) 다른 레코드 EyeIrritation6pack_PID40 의 ntp_measured=2B,"p.1-2(Sec2), p.7(Sec11)",AI판정,2026-08-30,"현재 NC 의 근거는 분석용 표준품 SDS. 동일 제품 PID40 에 NTP ICE in vivo Draize 눈 = 2B, 그리고 주장_sds_2nd 도 2A 로 양성이다. NC 는 오류.",2.1 Classification according to Regulation (EC) No 1272/2008 (CLP): Acute toxicity (oral) 4 Acute Tox. 4 H302 / Hazard statements H302 Harmful if swallowed,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,시험후_음성,높음
27,A,MIX345,눈자극,T2,NC,수정,2A,동일 제품(NEU1171H) 다른 레코드 EyeIrritation6pack_PID694 의 ntp_measured=2A,"p.1-2(Sec2), p.10-11(Sec11)",AI판정,2026-08-30,"현재 NC 의 근거 PDF 는 도료 SIGMADUR ONE SDS(오매칭). 동일 제품 PID694 에 NTP ICE in vivo Draize 눈 = 2A(EPA cat 2), 주장_sds_2nd_sec11 도 2A.","2.1 Classification of the substance or mixture / Classification according to Regulation (EC) No. 1272/2008 [CLP/GHS]: Flam. Liq. 3, H226 / STOT SE 3, H336 / Hazard statements: Flammable liquid and vapour. May cause drowsiness or dizziness. / Supplemental label elements: Repeated exposure may cause skin dryness or cracking. Contains neodecanoic acid, cobalt salt. May produce an allergic reaction.","Irritation/Corrosion / Skin : Based on available data, the classification criteria are not met. / Eyes : Based on available data, the classification criteria are not met.",시험후_음성,높음
28,A,MIX42,눈자극,T2,NC,보류,NC,판정 불가 - 근거 문서가 대상 물질과 다름,"p.1(Sec2), p.2-3(Sec11)",AI판정,2026-08-30,"대상은 Aminopyralid 원제(95.3%). 해석된 PDF 는 희석 제품 MILESTONE Herbicide(아미노피랄리드 TIPA 염 40.6%) SDS 로 ""not hazardous under OSHA"", Sec11 ""Essentially nonirritating to eyes"". 제품 시험이지만 대상(원제)과 농도/형태가 다르다. 주장_sds_2nd=1(Eye Dam.1)의 원문을 확인할 PDF 가 작업목록에 없어 어느 쪽도 검증 불가. pH 7.3 으로 pH 게이트 비해당.",2. HAZARDS IDENTIFICATION / Hazard classification / This material is not hazardous under the criteria of the Federal OSHA Hazard Communication Standard 29CFR 1910.1200. / Other hazards: no data available,Serious eye damage/eye irritation / Essentially nonirritating to eyes. / Skin corrosion/irritation: Essentially nonirritating to skin.,시험후_음성,낮음
29,A,MIX434,눈자극,T2,NC,수정,2B,동일 제품(Scimitar GR Insecticide) 다른 레코드 EyeIrritation6pack_PID860 의 ntp_measured=2B,"p.1(Sec2), p.3-4(Sec11)",AI판정,2026-08-30,현재 NC 의 근거 PDF 는 SCIMITAR CS(9.7% CS) 로 대상 제품(GR 0.04% 입제)과 다른 제형. 동일 제품 PID860 에 NTP ICE in vivo Draize 눈 = 2B. 중복 레코드 간 라벨 불일치.,"2. HAZARDS IDENTIFICATION / Health and Environmental: Harmful if inhaled. May be harmful in contact with skin. May cause an allergic skin reaction. Causes mild skin irritation. Vapors may cause drowsiness and dizziness. May be harmful if swallowed and enters airway. May cause temporary itching, tingling, burning or numbness of exposed skin, called paresthesia.",Acute Toxicity/Irritation Studies (Finished Product) / Eye Contact: Non-Irritating (Rabbit) / Skin Contact: Practically Non-Irritating (Rabbit),시험후_음성,높음
30,A,MIX447,눈자극,T2,NC,수정,2B,동일 제품(S-Metolachlor & Mesotrione) 다른 레코드 EyeIrritation6pack_PID838 의 ntp_measured=2B,"p.1-2(Sec2), p.6(Sec11)",AI판정,2026-08-30,현재 NC 의 근거 PDF 는 S-Metolachlor 단일물질 SDS 로 메소트리온 3.68% 가 없다. 동일 제품 PID838 에 NTP ICE in vivo Draize 눈 = 2B.,2.1 Classification according to Regulation (EC) No 1272/2008 (CLP): skin sensitisation 1 Skin Sens. 1 H317; Aquatic Acute 1 H400; Aquatic Chronic 1 H410 / Hazard statements H317 May cause an allergic skin reaction. H410,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,시험후_음성,높음
31,A,MIX527,눈자극,T2,NC,유지,NC,"동일 제품(Vitacon RTU FL) 다른 레코드 EyeIrritation6pack_PID1039 의 ntp_measured=""Not classified""","p.1(Sec2), p.4(Sec11)",AI판정,2026-08-30,"해석된 PDF(Shar-Teb 3.6FL)는 제품 불일치이나, 동일 제품의 NTP ICE in vivo Draize 3건이 Not classified 이므로 음성 채택이 결과적으로 옳다.",2. Hazard Identification / 2.1 Classification of the substance according to Regulation 1910.1200 [GHS]: Acute Tox. 4 - Oral (H302 - Harmful if swallowed); Repro. Toxicity - 2 (H361 - Suspected to damaging the unborn child); Aquatic Chronic 2 (H411),11.1 Information on toxicological effects: (b) skin corrosion/irritation: not irritant / (c) serious eye damage/irritation: not irritant / (d) respiratory or skin sensitization: Not sensitizing,시험후_음성,높음
32,A,MIX670,눈자극,T2,NC,유지,NC,sds_2nd(BIFEN G/N 7.9F SELECT) Sec11 weight-of-evidence 음성 + 농도 논거,"p.1-2(Sec2), p.6-7(Sec11)",AI판정,2026-08-30,"대상 제품은 Bifenthrin 0.069 RU Insecticide With Fertilizer(비펜트린 0.069% 입제), PDF 는 BIFEN G/N 7.9F SELECT(7.9%) SDS. Sec2 에 눈 분류 없고 Sec11 은 ""criteria are not met"" 이나 ""Specific test data for the substance or mixture is not available"" 라고 명시. 다만 100배 농축 제품이 비분류이므로 0.069% 제품의 NC 는 유지 가능. NTP 실측 없음.",2. Hazard(s) identification / Classification: Acute toxicity - Oral Category 2; Acute toxicity - Inhalation (Dusts/Mists) Category 4; Skin sensitization Category 1B; Carcinogenicity Category 2; Specific target organ toxicity (repeated exposure) Category 1 / Hazard statements: Fatal if swallowed; Harmful if inhaled; May cause an allergic skin reaction; Suspected of causing cancer,"Eye contact  Specific test data for the substance or mixture is not available. / Serious eye damage/eye irritation  Based on available data, the classification criteria are not met.",시험후_음성,중간
33,A,MIX701,눈자극,T2,NC,보류,NC,판정 불가 - 양측 모두 대상 제품 시험자료 없음,"p.1(Sec2), p.3-4(Sec11)",AI판정,2026-08-30,"대상은 NEU1171H RTU(말레산 히드라지드 0.5% 희석제). 해석된 PDF 는 뉴질랜드 제품 ""Move-It Total Moss & Moss"" SDS 로 대상 제품이 아니며, 눈 판정은 ""Sum of eye irritants <10%"" 계산 결과일 뿐 시험이 아니다. 동일 브랜드 농축품 NEU1171H(3%)는 NTP 눈 2A 이나 6배 희석품에 그대로 적용할 근거가 없다. 주장_sds_2nd=1 원문 미확인.","2. Hazard Identification / Approval: This product is not considered hazardous under the Hazardous Substances and New Organisms Act (HSNO), according to the criteria in the Hazardous substances (Hazard Classification) Notice 2020. / GHS 7 Classes: None / SYMBOLS none",Eye  The mixture is not considered to be an eye irritant. Sum of eye irritants <10% / IF IN EYES: may cause transient eye irritation.,시험후_음성,낮음
