no,sheet,fid,ep,등급,현재라벨,★판정,★확정라벨,★근거출처,★확인한원문쪽수,★검토자,★검토일,★메모,section2_원문,section11_원문,신뢰도
12,D,MIX478,피부감작성,E2_근거없음,NC,유지,NC,"e155bfa6c5a709c6_highlighted.pdf (Tetrasan 5 WDG) / Section 2, Section 11","p1, p5",AI판정,2026-08-30,"동일 문서(PID965와 같은 제품). Section 2 는 흡입 급성독성 Cat 4 만 분류, 감작 분류 없음. Section 11 기니피그 시험 ""Not a sensitizer"" → 시험 기반 음성. NC 정당.",2. HAZARDS IDENTIFICATION / Classification - (per U.S. OSHA 29 CFR 1910.1200 (Hazcom 2012)) / Acute toxicity - Inhalation (Dusts/Mists)   Category 4,Skin Sensitization (guinea pigs)   Not a sensitizer                      EPA Tox Category       Not applicable,높음
13,D,MIX508,피부감작성,E2_근거없음,NC,유지,NC,"771f17c74b9b0fa9_highlighted.pdf (V-10142 Herbicide) / Section 2, Section 11","p1, p5",AI판정,2026-08-30,"Section 2 는 Eye Irritation Cat 2B / Skin Irritation Cat 3 로 분화 분류하고 감작은 미분류. Section 11 기니피그 시험 ""Non-sensitizer"" → 시험 기반 음성. NC 정당.",Eye Irritation: Category 2B / Skin Irritation: Category 3,Skin Sensitization (guinea pigs)     Non-sensitizer          EPA Tox Category   Not applicable,높음
14,D,MIX537,피부감작성,E2_근거없음,NC,유지,NC,"c75c7b1be62c2d70_highlighted.pdf (Weld Herbicide) / Section 2, Section 11","p1, p4, p5",AI판정,2026-08-30,"Section 2 는 Eye 2A / Skin 2 로 분화 분류, H317 없음 → 감작 미분류로 NC 정당. 단 Section 11 은 ""N/Av""(자료없음) 및 ""No effects known.""으로 시험근거 부재. 자료없음과 음성은 구분해야 함.",GHS Classification: / Eye irritation: Category 2A / Skin irritation: Category 2 / H315 Causes skin irritation. / H319 Causes serious eye irritation.,Respiratory or Skin Sensitization: N/Av / Sensitization: No effects known.,중간
15,D,MIX545,피부감작성,E2_근거없음,NC,제외,,"G041_56-81-5_ChemBlink_Sigma_highlighted.pdf (Glycerin, Sigma) / Section 2.1, Section 11","p1, p5",AI판정,2026-08-30,"제품 SDS가 아닌 부성분 Glycerine(3-5%) Sigma SDS가 근거. Section 2 는 미분화 총괄 미분류문, Section 11 감작 항목 ""No data available"" → 시험근거 전무. 학습 제외 권고.",2.1 Classification of the substance or mixture / Not a hazardous substance or mixture.,Respiratory or skin sensitisation / No data available,높음
16,D,MIX574,피부감작성,E2_근거없음,NC,유지,NC,"0ead2d3d5c4fa28e_highlighted.pdf (Aloft LC SC Insecticide) / Section 2, Section 11","p1, p5, p6",AI판정,2026-08-30,"Section 2 분류는 Acute toxicity-Oral Cat 3, Acute toxicity-Inhalation(Vapors) Cat 2, Flammable liquids Cat 4 로 분화되어 있고 감작 분류 없음. Section 11 에 기니피그 감작시험 ""Non-sensitizer"" 명시 → 시험 기반 음성. NC 정당. (CT 가산법이 양성이라 상충 표시가 붙었으나 원문은 명확히 비감작)",2. HAZARDS IDENTIFICATION / Classification - (per U.S. OSHA 29 CFR 1910.1200 (Hazcom 2012)) / Acute toxicity - Oral   Category 3 / Acute toxicity - Inhalation (Vapors)   Category 2 / Flammable liquids   Category 4,Skin Irritation (rabbits) Slightly irritating EPA Tox Category IV / Skin Sensitization (guinea pigs)      Non-sensitizer                     EPA Tox Category         Not applicable,높음
17,D,MIX623,피부감작성,E2_근거없음,NC,유지,NC,"bb24ba2df9a2af52_highlighted.pdf (Aloft GC G Insecticide) / Section 2, Section 11","p1, p5",AI판정,2026-08-30,"Section 2 는 ""Not a dangerous substance or mixture according to the Globally Harmonized System (GHS)."" Section 11 에 기니피그 감작시험 ""Non-sensitizer"" 라는 실제 시험결과가 있음 → 시험 기반 음성. NC 정당.",2. HAZARDS IDENTIFICATION / Classification - (per U.S. OSHA 29 CFR 1910.1200 (Hazcom 2012)) / Not a dangerous substance or mixture according to the Globally Harmonized System (GHS).,Eye Irritation (rabbits) Slightly irritating EPA Tox Category IV / Skin Sensitization (guinea pigs)                Non-sensitizer              EPA Tox Category        Not applicable,높음
18,D,MIX704,피부감작성,E2_근거없음,NC,유지,NC,"20fc174c37b0b8b7_highlighted.pdf (Regiment Herbicide) / Section 2, Section 11","p1, p5",AI판정,2026-08-30,"Section 2 는 ""Not a hazardous substance or mixture according to the Globally Harmonized System (GHS)."" Section 11 에 기니피그 감작시험 ""Non-sensitizer"" 라는 실제 시험결과 존재 → 시험 기반 음성. NC 정당. (같은 표에서 급성독성은 ""No data available""로 구분 기재되어 있어, 감작 항목은 자료없음이 아님이 확인됨)",2. HAZARDS IDENTIFICATION / Classification - (per U.S. OSHA 29 CFR 1910.1200 (Hazcom 2012)) / Not a hazardous substance or mixture according to the Globally Harmonized System (GHS).,Oral Toxicity LD 50 (rats) No data available / Eye Irritation (rabbits) Brief and/or minor irritation EPA Tox Category III / Skin Sensitization (guinea pigs)               Non-sensitizer                        EPA Tox Category       Not applicable,높음
19,D,EyeIrritation6pack_PID1024,피부자극,E2_근거없음,NC,제외,,"G041_56-81-5_ChemBlink_Sigma_highlighted.pdf (Glycerin, Sigma) / Section 2.1, Section 11","p1, p5",AI판정,2026-08-30,"제품 SDS가 아닌 부성분 Glycerine(3-5%) Sigma SDS가 근거. Section 2 는 미분화 총괄 미분류문이고 Section 11 피부 항목은 ""No data available"" → 시험근거 전무. 학습 제외 권고.",2.1 Classification of the substance or mixture / Not a hazardous substance or mixture.,Skin corrosion/irritation / No data available,높음
20,D,EyeIrritation6pack_PID699,피부자극,E2_근거없음,NC,유지,NC,"ba0e013d21fa2454_highlighted.pdf (NNI-0001) / Section 2.1.1, Section 11","p1, p8",AI판정,2026-08-30,"Section 2 분류는 Flam. Sol. 1 (H228) 단독, 피부 분류(H315/H314) 없음. Section 11 은 ""Not classified (Based on available data, the classification criteria are not met.)"" = 가용자료 평가 후 기준 미달(명시적 음성) → NC 정당. E2 표시는 오분류.",SECTION 2: Hazards identification / 2.1.     Classification of the substance or mixture / Flam. Sol. 1 H228,"Skin corrosion/irritation                   : Not classified (Based on available data, the classification criteria are not met.)",높음
21,D,MIX142,눈자극,E3_부호전환,NC,유지,NC,"417529ce078df58e_highlighted.pdf (1-Decene, ChemicalBook, CAS 872-05-9) / SECTION 2, SECTION 11","p1, p2, p6",AI판정,2026-08-30,"Section 2 의 H코드는 H226/H304/H315/H410 로 H319·H318 이 없음(피부만 H315). Section 11 에 토끼 눈 시험 ""Eyes - Rabbit / Result: No eye irritation"" 실측 음성이 있음 → eye=NC 정당. 근거문서는 MIX142 의 88.3% 성분(CAS 872-05-9 = 1-Decene) SDS로 성분-문서 대응은 일치.",SECTION 2: Hazards identification / Hazard statements / H226 Flammable liquid and vapour / H304 May be fatal if swallowed and enters airways / H315 Causes skin irritation / H410 Very toxic to aquatic life with long lasting effects,Serious eye damage/eye irritation / Eyes - Rabbit / Result: No eye irritation,높음
22,D,MIX217,눈자극,E3_부호전환,NC,유지,NC,"G039_107534-96-3_ChemBlink_Sigma_highlighted.pdf (Tebuconazole, Sigma-Aldrich) / Section 2.1-2.2, Section 11","p1, p2, p5",AI판정,2026-08-30,"Section 2.1 분류가 Acute toxicity Oral (Cat 4) H302, Reproductive toxicity (Cat 2) H361, Aquatic Acute/Chronic 2 로 분화되어 있고 눈 분류·H319/H318 없음. Section 11 에 ""Result: No eye irritation""(및 No skin irritation) 실측 음성 존재 → eye=NC 정당. 근거문서는 주성분 Tebuconazole(38.8%) SDS로 대응 일치.","2.1 Classification of the substance or mixture / GHS Classification in accordance with 29 CFR 1910 (OSHA HCS) / Acute toxicity, Oral (Category 4), H302 / Reproductive toxicity (Category 2), H361 / Acute aquatic toxicity (Category 2), H401 / Chronic aquatic toxicity (Category 2), H411",Skin corrosion/irritation / Result: No skin irritation / Serious eye damage/eye irritation / Result: No eye irritation,높음
23,D,MIX23,눈자극,E3_부호전환,NC,유지,NC,"e24b8e39082df840_highlighted.pdf (Acephate) / Section 2.1, Section 11","p1, p7",AI판정,2026-08-30,"Section 2.1 분류표는 Acute toxicity (oral) Cat 4 / Acute Tox. 4 / H302 단일 항목으로 눈 분류 없음. Section 11 은 ""Shall not be classified as seriously damaging to the eye or eye irritant.""(명시적 분류 부정) → eye=NC 정당.",2.1    Classification of the substance or mixture / Classification according to Regulation (EC) No 1272/2008 (CLP) / 3.1O   Acute toxicity (oral)   4   Acute Tox. 4   H302,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant. / Respiratory or skin sensitisation / Shall not be classified as a respiratory or skin sensitiser.,높음
24,D,MIX345,눈자극,E3_부호전환,NC,유지,NC,"0504e3ad50d63ff1_highlighted.pdf (NEU1171H) / Section 2.1, Section 11, Section 16","p1, p10, p16",AI판정,2026-08-30,"Section 2.1 은 제품을 유해물질로 분류하면서도 Flam. Liq. 3 (H226) 과 STOT SE 3 (H336) 만 열거하고 눈 분류·H319/H318 없음. Section 11 Irritation/Corrosion 결론 ""Eyes : Based on available data, the classification criteria are not met.""(가용자료 평가 후 기준 미달) → eye=NC 정당. 참고로 성분 neodecanoic acid, cobalt salt 는 OECD429 Sensitising 이지만 이는 감작 엔드포인트이며 본 판정 대상 아님.","2.1 Classification of the substance or mixture / Classification according to Regulation (EC) No. 1272/2008 [CLP/GHS] / Flam. Liq. 3, H226 / STOT SE 3, H336 / The product is classified as hazardous according to Regulation (EC) 1272/2008 as amended.","Irritation/Corrosion / Conclusion/Summary / Skin : Based on available data, the classification criteria are not met. / Eyes : Based on available data, the classification criteria are not met. / Respiratory : Based on available data, the classification criteria are not met.",높음
25,D,MIX42,눈자극,E3_부호전환,NC,유지,NC,"2ba9cc637fd8a601_highlighted.pdf (MILESTONE Herbicide, Dow AgroSciences) / Section 2, Section 11, Section 15","p1, p6, p10",AI판정,2026-08-30,"Section 2 는 ""This material is not hazardous under the criteria of the Federal OSHA Hazard Communication Standard 29CFR 1910.1200."" Section 11 은 ""Essentially nonirritating to eyes. Corneal injury is unlikely.""(실측 기반 음성) → GHS상 eye=NC 정당. 그러나 Section 15 말미에 EPA FIFRA 라벨 문구 ""CAUTION / Causes moderate eye irritation"" 가 있어 상충(EPA 눈 자극 Cat III). 서로 다른 규제체계 문구이나 상충이 실재하므로 신뢰도 중간.",2. HAZARDS IDENTIFICATION / Hazard classification / This material is not hazardous under the criteria of the Federal OSHA Hazard Communication / Standard 29CFR 1910.1200. / Other hazards / no data available,Serious eye damage/eye irritation / Essentially nonirritating to eyes. / Corneal injury is unlikely. / CAUTION / Causes moderate eye irritation,중간
26,D,MIX434,눈자극,E3_부호전환,NC,유지,NC,"ec7e9870eec92980_highlighted.pdf (SCIMITAR CS, Syngenta) / Section 2, Section 11","p1, p4",AI판정,2026-08-30,"Section 2 유해성 서술은 흡입 유해, 피부 접촉 유해, 알레르기성 피부반응, 경미한 피부자극, 졸음/현기증, 흡인 유해뿐이고 눈에 관한 유해성 진술이 없음. Section 11 에 토끼 눈 시험 ""Eye Contact: Non-Irritating (Rabbit)"" 실측 음성 존재 → eye=NC 정당. 문서는 SCIMITAR CS(액상) 이고 제품명은 Scimitar GR(입제)이라 제형이 다르나 성분 대응(1,2,4-trimethylbenzene, xylene 등)은 일치.",2. HAZARDS IDENTIFICATION / Health and Environmental / Harmful if inhaled. May be harmful in contact with skin. May cause an allergic skin reaction. Causes mild skin irritation. Vapors may cause drowsiness and dizziness. May be harmful if swallowed and enters airway.,Eye Contact:              Non-Irritating (Rabbit) / Skin Contact:             Practically Non-Irritating (Rabbit) / Skin Sensitization:       A weak skin sensitizer in animal tests.,높음
27,D,MIX447,눈자극,E3_부호전환,NC,유지,NC,"f7d0674de986bc8f_highlighted.pdf (S-Metolachlor & Mesotrione) / Section 2.1, Section 11","p1, p2, p6, p10",AI판정,2026-08-30,"Section 2.1 분류표는 3.4S skin sensitisation 1 / Skin Sens. 1 / H317 만 기재하고 눈 분류·H319/H318 없음. Section 11 은 ""Shall not be classified as seriously damaging to the eye or eye irritant.""(명시적 분류 부정) → eye=NC 정당.",2.1    Classification of the substance or mixture / 3.4S   skin sensitisation   1   Skin Sens. 1   H317 / H317   May cause an allergic skin reaction.,Serious eye damage/eye irritation / Shall not be classified as seriously damaging to the eye or eye irritant.,높음
28,D,MIX527,눈자극,E3_부호전환,NC,유지,NC,"fd2ea4ca4e1f1268_highlighted.pdf (Vitacon RTU FL Fungicide) / Section 2.1, Section 11.1","p1, p4",AI판정,2026-08-30,"Section 2.1 분류는 Acute Tox. 4 Oral (H302), Repro. Toxicity 2 (H361), Aquatic Chronic 2 (H411) 로 분화되어 있고 눈 분류·H319/H318 없음. Section 11.1 은 ""(c) serious eye damage/irritation: not irritant""(명시적 음성) → eye=NC 정당. Section 11 후반의 ""Eye irritation: In human eyes ... 100% glycerin ..."" 서술은 성분 glycerin 문헌자료로 제형 분류와 무관.",2.        Hazard Identification / Acute Tox. 4 – Oral (H302 – Harmful if swallowed) / Repro. Toxicity - 2 (H361 – Suspected to damaging the unborn child) / Classification of the Aquatic Chronic 2       (H411 – Toxic to aquatic life with long lasting effects),11.     Toxico-logical Information / (a) acute toxicity: Acute oral toxicity (category 4) / (b) skin corrosion/irritation: not irritant / (c) serious eye damage/irritation: not irritant / (d) respiratory or skin sensitization: Not sensitizing,높음
29,D,MIX670,눈자극,E3_부호전환,NC,유지,NC,"c2a5d1d533d1d7dc_highlighted.pdf (Bifenthrin 0.069 RU Insecticide) / Section 2, Section 11","p1, p6",AI판정,2026-08-30,"Section 2 에서 공급자가 분류한 항목은 Skin sensitization Category 1B 뿐이며 눈 분류·H319/H318 없음. Section 11 은 ""Serious eye damage/eye irritation  Based on available data, the classification criteria are not met.""(가용자료 평가 후 기준 미달) → eye=NC 정당.",Classification / Acute toxicity - Oral   Category 2 / Acute toxicity - Inhalation (Dusts/Mists)   Category 4 / Skin sensitization   Category 1B / Carcinogenicity   Category 2 / Specific target organ toxicity (repeated exposure)   Category 1,"Skin corrosion/irritation             Based on available data, the classification criteria are not met. / Serious eye damage/eye irritation     Based on available data, the classification criteria are not met. / Respiratory or skin sensitization     May cause sensitization by skin contact.",높음
30,D,MIX701,눈자극,E3_부호전환,NC,유지,NC,"fef9f862170fcdc4_highlighted.pdf (NEU1171H RTU) / Section 2, Section 11","p1, p3",AI판정,2026-08-30,"Section 2 는 ""This product is not considered hazardous under the Hazardous Substances and New Organisms Act (HSNO)""로 미분류. Section 11 은 혼합물 가산 판정을 명시하여 ""Eye  The mixture is not considered to be an eye irritant. Sum of eye irritants <10%"" → 계산 기반이지만 근거가 명시된 음성. eye=NC 정당. 단 같은 문서 응급조치란에 ""IF IN EYES: may cause transient eye irritation."" 문구가 있어 경미한 상충.","Approval / This product is not considered hazardous under the Hazardous Substances and New Organisms Act (HSNO), according to / the criteria in the Hazardous substances (Hazard Classification) Notice 2020. / GHS 7 Classes   Hazard Statements / None",Eye   The mixture is not considered to be an eye irritant. Sum of eye irritants <10% / IF IN EYES: may cause transient eye irritation.,높음
31,D,MIX759,눈자극,E3_부호전환,NC,유지,NC,"bcabb1bf65fff64c_highlighted.pdf (PermaStar AG) / Section 2, Section 11, Section 15","p1, p9",AI판정,2026-08-30,"Section 2 GHS 분류·유해문구는 흡입/경구/피부 급성 유해와 수생 유해, 가연성 액체뿐이고 눈 분류 없음. Section 15 의 대비표에 ""Eye Irritation (Category III) / Cause moderate eye irritation"" 은 FIFRA 라벨 요건이고 같은 행의 ""OSHA HCS Requirement for Section 2 of SDS"" 열은 ""Not classified"" 로 명시 → GHS상 eye=NC 정당. 우리 파서가 뽑은 인용문은 이 두 열을 뒤섞은 것.",Section 2 – Hazards identification / Classification of substance: / Harmful if inhaled / Harmful if swallowed / Harmful in contact with skin / Very Toxic to Aquatic life / Combustible liquid,Skin Irritation   (Category IV)   Not classified / No required hazard label / Eye Irritation   (Category III)   Not classified / Cause moderate eye irritation / Sensitization   Not labeled   Not classified,높음
32,D,MIX810,눈자극,E3_부호전환,NC,제외,,"aeb8b80ea8f83fdb_highlighted.pdf (1,4-Cyclohexanediol, mixture of cis and trans, CAS 556-48-9, Fisher/Acros) / Section 2, Section 11","p1, p4",AI판정,2026-08-30,"두 가지 문제. (1) 문서 대응 불일치: 근거문서는 CAS 556-48-9(1,4-Cyclohexanediol) SDS인데 MIX810 주성분은 diethyl 1,4-cyclohexanedicarboxylate(CAS 72903-27-6, 97%)로 다른 물질이다. (2) Section 2 는 엔드포인트 미분화 총괄 미분류문이고 Section 11 눈 항목은 ""No data available"" → 시험근거 전무. ""No data available""은 음성이 아니라 자료없음. 학습 제외 권고.","2. Hazard(s) identification / Classification / Classification according to [US] OSHA (29 CFR 1910.1200, 2024) / This product is not considered hazardous by the US OSHA Hazard Communication Standard 2024 (29 CFR 1910.1200). / Label Elements / None required / Hazards not otherwise classified (HNOC) / None identified",(b) skin corrosion/irritation;        No data available / (c) serious eye damage/irritation;    No data available / (d) respiratory or skin sensitization; Respiratory No data available / Skin No data available,높음
33,D,MIX914,눈자극,E3_부호전환,NC,유지,NC,"bc72d8d1be4a4024_highlighted.pdf (Cardamom oil) / Section 2.1, Section 11, Section 16","p1, p6, p8",AI판정,2026-08-30,"Section 2.1 공급자 분류는 ""Sensitization - Skin Category 1 / H317"" 단독이고 눈 분류·H319/H318 없음(H318/H319 는 Section 16 약어 해설과 Section 3 성분표에만 등장). Section 11 은 ""Serious eye damage/irritation: Based on available data the classification criteria are not met.""(평가 후 기준 미달) → eye=NC 정당.","2.1 Classification of the substance or mixture / Class and category of Sensitization - Skin Category 1 / H317, May cause an allergic skin reaction. / Hazard statements: H317, May cause an allergic skin reaction.",Skin corrosion/irritation:  Based on available data the classification criteria are not met. / Serious eye damage/irritation:  Based on available data the classification criteria are not met. / Respiratory or skin sensitisation:  Sensitization - Skin Category 1,높음
35,D,MIX1047,피부감작성,E3_부호전환,NC,제외,,"G061_499-44-5_ChemBlink_Sigma_highlighted.pdf (beta-Thujaplicin, Sigma) / Section 2.1, Section 11","p1, p4",AI판정,2026-08-30,"Section 2 는 엔드포인트 미분화 총괄문 ""Not a hazardous substance or mixture.""이고 Section 11 감작 항목은 ""No data available"" → 감작 시험근거 전무. 미분화 총괄 미분류 + 무자료 조합은 GHS상 음성 근거가 아니다. 또한 단일 성분(beta-Thujaplicin) SDS로 Hibawood oil 제형 전체를 대표하지 못함. 학습 제외 권고.","2.1 Classification of the substance or mixture / Not a hazardous substance or mixture. / 2.2 GHS Label elements, including precautionary statements / Not a hazardous substance or mixture.",Skin corrosion/irritation / No data available / Serious eye damage/eye irritation / No data available / Respiratory or skin sensitisation / No data available,높음
