Formulation_ID,Formulation_Name,formulation_code,physical_form,product_category,concentration_type,type_confidence,type_evidence_basis,signal_word,ghs_hazard_classes,acute_toxicity_route,environmental_hazard,h_codes,hazard_level_score,hazard_confidence,hazard_evidence_basis,use_class,target_pest_organism,target_crop_site,application_method,use_pattern,use_confidence,use_evidence_basis,epa_reg_number,regulatory_jurisdiction,registration_status,active_ingredient_declared,reach_registered,label_type,regulatory_confidence,regulatory_evidence_basis,active_pct_total,inert_pct_total,primary_active_ingredient,ingredient_count_class,concentration_class,pct_data_quality,formulation_complexity_score,ingredient_profile_confidence,profile_evidence_basis
EyeIrritation6pack_PID101,Autumn Super 51 WDG Herbicide,WDG,granule,pesticide/herbicide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,,,Thiencarbazone-methyl,multi_4_6,unknown,none,4.0,,
EyeIrritation6pack_PID1011,Tundra Max,UNKNOWN,liquid,pesticide/insecticide,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,37.6,62.4,Chlorpyrifos,multi_4_6,medium,exact,4.0,,
EyeIrritation6pack_PID1012,Turfthor WP,WP,powder,pesticide/insecticide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,75.0,25.0,Imidacloprid,single,very_high,exact,1.0,,
EyeIrritation6pack_PID1013,UBI 4389,UNKNOWN,unknown,unknown,unknown,LOW,no_basis,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,UNKNOWN,unknown,False,,worldbank_doc,LOW,no_basis,,,,multi_7p,unknown,inconsistent,5.0,,
EyeIrritation6pack_PID1016,Ultrathion Insect Repellent,UNKNOWN,liquid,consumer_product,ready-to-use,MEDIUM,evidence_snippet,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,product_page,HIGH,source_filename,34.34,65.66,DEET,single,medium,exact,1.0,,
EyeIrritation6pack_PID1018,Unicorn Fungicide,UNKNOWN,powder,pesticide/fungicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,unknown,HIGH,source_filename,3.0,97.0,Tebuconazole,binary,ultra_low,exact,2.0,,
EyeIrritation6pack_PID1019,Up-Cyde Pro 2.0 EC Termiticide/Insecticide,EC,liquid,pesticide/insecticide,concentrate,HIGH,name_explicit,DANGER,"['acute_toxicity_oral_4', 'acute_toxicity_dermal_4', 'acute_toxicity_inhalation_3', 'aquatic_acute_1', 'aquatic_chronic_1']","['oral', 'dermal', 'inhalation']",aquatic_chronic,[],4.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,70506-19,US_EPA,registered_active,False,,sds_full,HIGH,epa_reg_found,40.0,60.0,cypermethrin,binary,high,exact,2.0,,
EyeIrritation6pack_PID102,Averthor Granular Ant Bait,GR,granule,pesticide/insecticide,ready-to-use,HIGH,name_explicit,WARNING,"['acute_toxicity_inhalation_4', 'acute_toxicity_oral_4', 'eye_irritation_2A', 'reproductive_toxicity_1B', 'stot_repeated_1', 'aquatic_chronic_1']","['oral', 'inhalation']",aquatic_chronic,[],5.0,HIGH,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,0.73,99.27,Hydramethylnon,single,ultra_low,exact,1.0,,
EyeIrritation6pack_PID1020,UP-End Herbicide,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,12.0,88.0,4-Dichlorophenoxy)aceticacid,multi_4_6,medium,approximate,4.0,,
EyeIrritation6pack_PID1021,UPI Glyphosphate,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,4.0,96.0,Glyphosate,binary,low,approximate,2.0,,
EyeIrritation6pack_PID1022,UPI Imidacloprid,UNKNOWN,powder,pesticide/insecticide,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,2.0,98.0,1H-Imidazol--amine,single,ultra_low,exact,1.0,,
EyeIrritation6pack_PID1023,US-LON-A,UNKNOWN,unknown,cleaning_disinfectant,unknown,LOW,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,UNKNOWN,unknown,False,,unknown,LOW,no_basis,1.0,99.0,Trichloroisocyanuric Acid,ternary,ultra_low,exact,3.0,,
EyeIrritation6pack_PID1024,V-10116 3.7 FS,FS,suspension,pesticide/fungicide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,unknown,HIGH,source_filename,5.0,95.0,Metconazole,binary,low,exact,2.0,,
EyeIrritation6pack_PID1025,V-10116 VPP Fungicide,UNKNOWN,powder,pesticide/fungicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,5.0,95.0,Metconazole,single,low,exact,1.0,,
EyeIrritation6pack_PID1026,V-10141 2.8 EC Insecticide,EC,liquid,pesticide/insecticide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,,sds_full,HIGH,source_filename,,,Deltamethrin,single,unknown,none,1.0,,
EyeIrritation6pack_PID1027,V-10142 Herbicide,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,name_explicit,WARNING,"['eye_irritation_2', 'skin_irritation_2', 'acute_toxicity_oral_4', 'acute_toxicity_inhalation_4']","['oral', 'inhalation']",unknown,"['H302', 'H315', 'H319', 'H332']",3.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,2.0,98.0,Imazosulfuron Technical,multi_4_6,ultra_low,partial,4.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1028,V-10276  0.088 SL Insecticide/Fungicide,SL,liquid,pesticide/insecticide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],aquatic_chronic,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,,,Bifenthrin,ternary,unknown,none,3.0,LOW,name_inference
EyeIrritation6pack_PID1029,V-10336 Herbicide,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,,,Potassium salt of glyphosate,binary,unknown,none,2.0,LOW,name_inference
EyeIrritation6pack_PID103,Avicta Complete Corn 250,UNKNOWN,liquid,pesticide/fungicide,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,24.99,75.01,Thiamethoxam,multi_7p,medium,partial,5.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1031,Vapona Concentrate Insecticide,UNKNOWN,liquid,pesticide/insecticide,concentrate,HIGH,name_explicit,DANGER,"['acute_toxicity_oral_1', 'acute_toxicity_inhalation_1']","['oral', 'inhalation']",unknown,[],4.0,MEDIUM,label_precautionary,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,11556-174,US_EPA,registered_active,True,False,product_page,HIGH,epa_reg_found,40.2,59.8,Ddvp,ternary,high,exact,3.0,HIGH,workbook_pct
EyeIrritation6pack_PID1032,VCP-01,UNKNOWN,unknown,unknown,unknown,LOW,no_basis,DANGER,"['carcinogenicity_1A', 'skin_sensitization_1', 'stot_repeated_1', 'skin_corrosion_1B', 'eye_damage_1', 'respiratory_sensitization_1']","['dermal', 'oral']",none,"['H350', 'H317', 'H372', 'H314', 'H318', 'H334', 'H312', 'H302']",5.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,EU_REACH,not_registered,False,False,sds_full,MEDIUM,reach_text,,,VCP,binary,unknown,none,2.0,LOW,no_basis
EyeIrritation6pack_PID1033,Velocity SG Herbicide,UNKNOWN,granule,pesticide/herbicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,2.0,98.0,Bromoxynil octanoate,multi_7p,ultra_low,partial,5.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1034,Veriguard OD,UNKNOWN,liquid,cleaning_disinfectant,concentrate,MEDIUM,pattern_inferred,UNKNOWN,"['acute_toxicity_oral_4', 'skin_corrosion_1B']",['oral'],unknown,"['H302', 'H314']",3.0,MEDIUM,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,EU_REACH,not_registered,False,False,sds_full,MEDIUM,reach_text,2.4,97.6,Didecyldimethylammonium Chloride,single,ultra_low,partial,1.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1037,Viper WP,WP,powder,pesticide/insecticide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,25.4,74.6,Cypermethrin,multi_4_6,medium,approximate,4.0,HIGH,workbook_pct
EyeIrritation6pack_PID1038,Vitacon 100 Pro FS Fungicide,FS,suspension,pesticide/fungicide,concentrate,HIGH,sec_explicit,CAUTION,[],['none_identified'],unknown,[],1.0,MEDIUM,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,True,False,sds_full,HIGH,source_filename,37.74,62.26,carboxin,multi_4_6,medium,exact,4.0,HIGH,workbook_pct
EyeIrritation6pack_PID1039,Vitacon RTU FL Fungicide,RTU,liquid,pesticide/fungicide,ready-to-use,HIGH,name_explicit,WARNING,"['acute_toxicity_oral_4', 'reproductive_toxicity_2', 'aquatic_chronic_2']",['oral'],aquatic_chronic,"['H302', 'H361', 'H411']",4.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,UNKNOWN,not_registered,False,False,sds_full,MEDIUM,source_filename,2.25,97.75,Glycerol,ternary,ultra_low,partial,3.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID104,Axial BIA Herbicide,UNKNOWN,unknown,pesticide/herbicide,unknown,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,,,Pinoxaden,multi_4_6,unknown,none,4.0,LOW,source_text
EyeIrritation6pack_PID1040,Voliam Flexi Insecticide,UNKNOWN,liquid,pesticide/insecticide,concentrate,MEDIUM,name_explicit,WARNING,"['aquatic_acute_1', 'aquatic_chronic_1']",['none_identified'],both,"['H400', 'H410']",2.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,EU_REACH,not_registered,False,False,sds_full,MEDIUM,reach_text,,,Chlorantraniliprole,binary,unknown,none,2.0,LOW,source_text
EyeIrritation6pack_PID1042,VOLIAM Xpress Insecticide,UNKNOWN,liquid,pesticide/insecticide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,2.0,98.0,chlorantraniliprole,multi_4_6,ultra_low,approximate,4.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1043,Waterborne Milltreat 111 Concentrate,UNKNOWN,liquid,wood_preservative,concentrate,HIGH,evidence_snippet,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,epa_label,HIGH,source_filename,1.41,95.77,Propiconazole,multi_4_6,ultra_low,exact,4.0,HIGH,workbook_pct
EyeIrritation6pack_PID1044,Weld Herbicide,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,name_explicit,WARNING,"['carcinogenicity_2', 'skin_irritation_2', 'eye_irritation_2A', 'stot_single_3']",['oral'],none,"['H315', 'H319', 'H335', 'H336', 'H351']",4.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,90.0,10.0,Methylene Chloride,single,very_high,approximate,1.0,HIGH,workbook_pct
EyeIrritation6pack_PID1045,Willowed Ethofumesate,UNKNOWN,liquid,pesticide/herbicide,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,30.0,70.0,Ethofumesate (ISO),ternary,medium,partial,3.0,HIGH,workbook_pct
EyeIrritation6pack_PID1048,Wolman E (mu CA-C),UNKNOWN,liquid,wood_preservative,concentrate,MEDIUM,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,1.0,99.0,Copper (II) carbonate--copper(II) hydroxide,multi_4_6,ultra_low,partial,4.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID105,Axial Star Herbicide,UNKNOWN,unknown,pesticide/herbicide,unknown,MEDIUM,name_explicit,UNKNOWN,['carcinogenicity_unknown'],['dermal'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,0.6,99.4,UNKNOWN,single,ultra_low,approximate,1.0,LOW,workbook_pct
EyeIrritation6pack_PID1050,WRC-13927-32-0,UNKNOWN,unknown,unknown,unknown,LOW,no_basis,NONE,[],['none_identified'],none,[],0.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,UNKNOWN,unknown,False,False,worldbank_doc,LOW,no_basis,,,UNKNOWN,single,unknown,none,1.0,LOW,no_basis
EyeIrritation6pack_PID1051,X-Cide 800 Biocide,EC,liquid,cleaning_disinfectant,concentrate,HIGH,sec_explicit,WARNING,"['eye_damage_1', 'skin_irritation_2', 'aquatic_chronic_2']",['none_identified'],aquatic_chronic,"['H318', 'H315', 'H411']",2.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,EU_REACH,not_registered,False,False,sds_full,MEDIUM,reach_text,,,Peracetic Acid,ternary,unknown,none,3.0,LOW,source_text
EyeIrritation6pack_PID1052,XDE-007 50% Concentrate,UNKNOWN,liquid,unknown,concentrate,LOW,name_explicit,UNKNOWN,"['acute_toxicity_oral_4', 'eye_damage_1']",['oral'],unknown,"['H302', 'H318']",3.0,MEDIUM,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,0.66,99.34,Kathon,single,ultra_low,partial,1.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1053,XDE-175,UNKNOWN,unknown,pesticide/herbicide,unknown,LOW,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,4.0,96.0,"Dimethylamine Salt of -(2,4-Dichlorphenoxy)",single,low,exact,1.0,HIGH,workbook_pct
EyeIrritation6pack_PID1054,XDE-742,UNKNOWN,unknown,unknown,unknown,LOW,no_basis,UNKNOWN,[],['oral'],unknown,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,EU_REACH,not_registered,False,True,sds_full,MEDIUM,reach_text,,,Ferric chloride hexahydrate,single,unknown,none,1.0,LOW,no_basis
EyeIrritation6pack_PID1055,XDE-PRDX,UNKNOWN,unknown,research_compound,unknown,LOW,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,UNKNOWN,unknown,False,False,unknown,LOW,no_basis,,,"2,3-Bis(bromomethyl)quinoxaline-1,4-dioxide",single,unknown,none,1.0,LOW,no_basis
EyeIrritation6pack_PID1056,Xemium Fungicide,UNKNOWN,liquid,pesticide/fungicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,33.58,,Pyraclostrobin,multi_7p,medium,approximate,5.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1059,Ygiene 206,UNKNOWN,liquid,cleaning_disinfectant,unknown,LOW,pattern_inferred,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,,,unknown,HIGH,source_filename,,100.0,,single,unknown,none,1.0,LOW,no_basis
EyeIrritation6pack_PID1060,Zampro Fungicide,UNKNOWN,liquid,pesticide/fungicide,concentrate,MEDIUM,evidence_snippet,WARNING,"['acute_toxicity_oral_4', 'reproductive_toxicity_2', 'aquatic_acute_3', 'aquatic_chronic_1']",['oral'],aquatic_chronic,"['H302', 'H361', 'H402', 'H410']",4.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,7969-302,US_EPA,registered_active,False,False,sds_full,HIGH,epa_reg_found,29.9,,ametoctradin,multi_7p,medium,approximate,5.0,MEDIUM,workbook_pct
EyeIrritation6pack_PID1061,"Zoxamide (Dithane/RH-117,281 DG Blend 8:1)",WG,granule,pesticide/fungicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,product_page,HIGH,source_filename,,,Zonisamide,single,unknown,none,1.0,LOW,name_inference
EyeIrritation6pack_PID1062,Zoxamide(95_100%),UNKNOWN,powder,research_compound,concentrate,LOW,pattern_inferred,WARNING,"['acute_toxicity_oral_4', 'skin_irritation_2', 'eye_irritation_2', 'stot_single_3']",['oral'],none,"['H302', 'H315', 'H319', 'H335']",3.0,HIGH,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_partial,HIGH,source_filename,,,oxamide,single,very_high,none,1.0,MEDIUM,name_inference
EyeIrritation6pack_PID1064,"Zoxamide, 80 WP",WP,powder,pesticide/fungicide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],terrestrial,[],0.0,LOW,snippet_keywords,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,product_page,HIGH,source_filename,,,Oxamide,single,very_high,none,1.0,MEDIUM,name_inference
EyeIrritation6pack_PID107,Azoxystrobin 50 WG,WG,granule,pesticide/fungicide,concentrate,HIGH,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,50.0,50.0,Azoxystrobin,ternary,high,none,3.0,MEDIUM,name_inference
EyeIrritation6pack_PID110,Bactron K-139,UNKNOWN,liquid,cleaning_disinfectant,concentrate,MEDIUM,pattern_inferred,WARNING,[],['none_identified'],unknown,[],2.0,LOW,sds_section2,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,product_page,HIGH,source_filename,50.0,50.0,"ALKYL* DIMETHYL BENZYL AMMONIUM CHLORIDE *(C14, 40%C12, 10%C16)",single,high,exact,1.0,HIGH,workbook_pct
EyeIrritation6pack_PID115,Banner Dry MAXX,UNKNOWN,powder,pesticide/fungicide,concentrate,MEDIUM,name_explicit,UNKNOWN,[],['none_identified'],unknown,[],0.0,LOW,no_basis,study/eye_irritation_rabbit,,,unknown,unknown,HIGH,source_filename,,RESEARCH_ONLY,not_registered,False,False,sds_full,HIGH,source_filename,,,Propiconazole,binary,unknown,none,2.0,LOW,source_text
