cas,ingredient_name,눈,피부,감작,출처유형,범주유효성,H코드정합,URL상태,CAS체디,기존값충돌,채택가능,판정근거
2634-33-5,"1,2-Benzisothiazolin-3-one","구분1(심한 눈손상) (H318, EU CLP Annex VI): H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분2(피부 자극) (H315, EU CLP Annex VI): H315: Causes skin irritation [Warning Skin corrosion/irritation]","피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,피부:신규[2] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
6440-58-0,"1,3-Dimethylol-5,5-dimethylhydantoin","구분2(눈 자극) (H319, ECHA C&L 통보): H319 (30%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (11.1%): Causes skin irritation [Warning Skin corrosion/irritation]","피부감작성 구분1 (H317, ECHA C&L 통보): H317 (14.7%): May cause an allergic skin reaction [Warning Sensitization, Skin]",echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1](ntp_measured) | 피부:신규[2] vs 기존[Not classified](NC),조건부,"ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:30.0%,피부:11.1%,감작:14.7% / 기존 v5 라벨과 충돌 존재"
67-47-0,5-(Hydroxymethyl)-2-furfural,"구분2(눈 자극) (H319, ECHA C&L 통보): H319 (65.1%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (60.2%): Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1](ntp_measured) | 피부:신규[2] vs 기존[Not classified](NC),조건부,출처가 ECHA C&L 자가신고(법적구속력 없음) / 기존 v5 라벨과 충돌 존재
4719-04-4,"Hexahydro-,3,5-tris(2-hydroxyethyl)-s-triazine","구분2(눈 자극) (H319, ECHA C&L 통보): H319 (15.8%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,피부:신규[NC] vs 기존[2B](ntp_measured),조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:15.8% / 기존 v5 라벨과 충돌 존재
141-43-5,aminoethanol 1,"구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (13.6%): Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분1(피부 부식/화상) (H314, EU CLP Annex VI): H314: Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]","피부감작성 구분1 (H317, ECHA C&L 통보): H317 (100%): May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[1] vs 기존[2B](ntp_measured) | 피부:신규[1] vs 기존[2B](ntp_measured),조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:13.6% / 기존 v5 라벨과 충돌 존재
330-54-1,Diuron,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2B;Not classified](ntp_measured) | 피부:신규[NC] vs 기존[1;2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
107534-96-3,Tebuconazole,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[1;2;2B;Not classified](ntp_measured;sds_reported) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
317815-83-1,Thiencarbazone-methyl,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
68425-94-5,"Alkylnaphthalenesulfonic acid, polymer with",정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
2921-88-2,Chlorpyrifos,"구분2(눈 자극) (H319, ECHA C&L 통보): H319 (13.7%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,pass,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:13.7%
64742-94-5,Aromatic hydrocarbon 2 Moderate 2 Flammability,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
91-20-3,Napthalene (from aromatic hydrocarbon) 3 High 0 Reactivity,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
71-36-3,n-Butyl Alcohol,"구분1(심한 눈손상) (H318, EU CLP Annex VI): H318: Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분2(피부 자극) (H315, EU CLP Annex VI): H315: Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,없음,채택,"EU CLP Annex VI 근거 또는 양대출처 조회완료 NC, 범주/H코드 정합, URL 정상, 체디 pass, 기존값 충돌 없음"
68953-96-8,C(11-13) Branched Alkyl Benzene Sulfonic,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
35367-38-5,Diflubenzuron,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B](ntp_measured) | 피부:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
91465-08-6,lambda-Cyhalothrin,"구분2(눈 자극) (H319, ECHA C&L 통보): H319 (12.9%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;2B;Not classified](ntp_measured;sds_reported) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:12.9% / 기존 v5 라벨과 충돌 존재
134-62-3,DEET,"구분2(눈 자극) (H319, EU CLP Annex VI): H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, EU CLP Annex VI): H315: Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,피부:신규[2] vs 기존[Not classified](NC),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
52315-07-8,Cypermethrin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"구분2(피부 자극) (H315, EU CLP Annex VI): H315: Causes skin irritation [Warning Skin corrosion/irritation]","피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
67485-29-4,Content (W/W),"구분2(눈 자극) (H319, EU CLP Annex VI): H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[Not classified](NC),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
40487-42-1,Pendimethalin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, ECHA C&L 통보): H317 (80.8%): May cause an allergic skin reaction [Warning Sensitization, Skin]",echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B;Not classified](ntp_measured;sds_reported),조건부,Annex VI(법적구속) 항목 존재하나 ECHA C&L(자가신고) 값을 채택 — 출처위계 역전 가능 / 기존 v5 라벨과 충돌 존재
125116-23-6,"Metconazole (-[(4-chlorophenyl)methyl]-2,2-dimethyl-1-(1H-1,2,4- 48.5 - 51.5 Active Ingredient","구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (16.9%): Causes serious eye damage [Danger Serious eye damage/eye irritation]","구분1(피부 부식/화상) (H314, ECHA C&L 통보): H314 (15.3%): Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[1] vs 기존[2A;2B;Not classified](ntp_measured) | 피부:신규[1] vs 기존[2B;Not classified](ntp_measured),조건부,"ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:16.9%,피부:15.3% / 기존 v5 라벨과 충돌 존재"
52918-63-5,Deltamethrin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;2A;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
153233-91-1,Etoxazole,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured) | 피부:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
39515-41-8,Fenpropathrin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B](ntp_measured) | 피부:신규[NC] vs 기존[2B](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
122548-33-8,Imazosulfuron,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2B;3](ntp_measured;sds_reported),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
175013-18-0,Pyraclostrobin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"구분2(피부 자극) (H315, EU CLP Annex VI): H315: Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported) | 감작:신규[NC] vs 기존[1](sens_ghs),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
57-55-6,Propylene glycol 5-10,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;Not classified](ntp_measured) | 피부:신규[NC] vs 기존[1;2B;Not classified](ntp_measured),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
103361-09-7,Flumioxazin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
447399-55-5,Pyroxasulfone,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,없음,조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가
62-73-7,Dichlorvos,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A](ntp_measured) | 피부:신규[NC] vs 기존[1;2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
125401-92-5,Bispyribac-sodium,"구분2(눈 자극) (H319, ECHA C&L 통보): H319 (56.2%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, ECHA C&L 통보): H317 (44.6%): May cause an allergic skin reaction [Warning Sensitization, Skin]",echa_cl,정상,정상,PubChem CID URL 1건,pass,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 감작:44.6%
533-74-4,Dazomet,"구분2(눈 자극) (H319, EU CLP Annex VI): H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (20.4%): Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1](ntp_measured) | 피부:신규[2] vs 기존[Not classified](NC),조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 피부:20.4% / 기존 v5 라벨과 충돌 존재
64742-46-7,Hydrotreated middle distillates (petroleum),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
11138-66-2,Xanthum gum,정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음(PubChem CID 매칭 실패),정보없음,정상,정상,결측(정보없음 유형-조회실패로 인용가능 URL 없음),pass,없음,보류,3개 엔드포인트 전부 정보없음(PubChem 미매칭/GHS섹션 없음) — 라벨 근거 0
125225-28-7,Ipconazole,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2B;Not classified](ntp_measured),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
5234-68-4,Carboxin,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2B;Not classified](ntp_measured) | 피부:신규[NC] vs 기존[2;Not classified](sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
57837-19-1,Metalaxyl,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),"피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[1;2A;2B;Not classified](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;2B;Not classified](ntp_measured;sds_reported),조건부,기존 v5 라벨과 충돌 — 병합규칙 확정 필요
243973-20-8,Pinoxaden,"구분2(눈 자극) (H319, EU CLP Annex VI): H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (20.8%): Causes skin irritation [Warning Skin corrosion/irritation]","피부감작성 구분1 (H317, EU CLP Annex VI): H317: May cause an allergic skin reaction [Warning Sensitization, Skin]",annex_vi,정상,정상,PubChem CID URL 1건,pass,눈:신규[2] vs 기존[1;2B](ntp_measured),조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 피부:20.8% / 기존 v5 라벨과 충돌 존재
75-09-0,Methylene Chloride,"구분2(눈 자극) (H319, ECHA C&L 통보): H319 (53.2%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]","구분2(피부 자극) (H315, ECHA C&L 통보): H315 (30.4%): Causes skin irritation [Warning Skin corrosion/irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,fail,없음,조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 피부:30.4% / CAS 체크디지트 실패 / 메모상 정정CAS로 재조사했으나 cas 열은 무효값 그대로 — 조인키 불일치
29450-45-1,2-Ethylhexyl (4-chloro-2-methylphenoxy)acetate,분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),pubchem_기타,정상,정상,PubChem CID URL 1건,pass,눈:신규[NC] vs 기존[2A;2B](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;Not classified](sds_reported),조건부,분류대상아님이 ECHA C&L 통보 부재만에 근거 — 미시험(no data)과 음성(negative) 구분 불가 / 기존 v5 라벨과 충돌 존재
57754-85-5,Clopyralid-olamine,"구분1(심한 눈손상) (H318, ECHA C&L 통보): H318 (34.9%): Causes serious eye damage [Danger Serious eye damage/eye irritation]",분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),분류대상아님(EU CLP Annex VI/ECHA C&L 기준 해당 H코드 없음),echa_cl,정상,정상,PubChem CID URL 1건,pass,눈:신규[1] vs 기존[2A;2B](ntp_measured;sds_reported) | 피부:신규[NC] vs 기존[2;Not classified](sds_reported),조건부,ECHA C&L 자가신고 통보율 과반미달을 확정분류로 채택: 눈:34.9% / 기존 v5 라벨과 충돌 존재
