열,노선,학습대상,판정근거,feature_role,sds_coderived
t11_ld50_oral_n,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_oral_multi,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_oral_unparsed,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_acute_oral_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_dermal,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_dermal_log,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_dermal_censored,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_dermal_n,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_dermal_multi,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_ld50_dermal_unparsed,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_acute_dermal_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_lc50_inhal,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_lc50_inhal_log,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_lc50_inhal_censored,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_lc50_inhal_n,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_lc50_inhal_multi,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_lc50_inhal_unparsed,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_acute_inhal_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_carc_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_muta_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_repr_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_stot_se_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_stot_re_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
t11_aspir_ord,금지_라벨공파생,False,라벨과 같은 문서에서 판독 — 피처로 쓰면 답이 샌다,label_coderived,True
f_n_ing,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_n_pct_known,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
f_pct_sum_known,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_coverage,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_n_smiles,미사용,False,"feature_role=bookkeeping, 학습 미사용",bookkeeping,False
f_smiles_coverage,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_with_structure,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_shannon,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_simpson,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_max_pct,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_MolWt_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolWt_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolWt_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolWt_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolWt_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolWt_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_MolLogP_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolLogP_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolLogP_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolLogP_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolLogP_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolLogP_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_TPSA_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_TPSA_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_TPSA_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_TPSA_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_TPSA_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_TPSA_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_NumHDonors_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHDonors_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHDonors_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHDonors_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHDonors_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHDonors_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_NumHAcceptors_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHAcceptors_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHAcceptors_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHAcceptors_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHAcceptors_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHAcceptors_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_NumRotatableBonds_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumRotatableBonds_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumRotatableBonds_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumRotatableBonds_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumRotatableBonds_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumRotatableBonds_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_NumAromaticRings_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumAromaticRings_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumAromaticRings_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumAromaticRings_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumAromaticRings_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumAromaticRings_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_FractionCSP3_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_FractionCSP3_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_FractionCSP3_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_FractionCSP3_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_FractionCSP3_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_FractionCSP3_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_MolMR_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolMR_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolMR_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolMR_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolMR_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MolMR_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_LabuteASA_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_LabuteASA_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_LabuteASA_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_LabuteASA_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_LabuteASA_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_LabuteASA_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_BertzCT_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_BertzCT_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_BertzCT_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_BertzCT_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_BertzCT_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_BertzCT_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_Kappa2_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_Kappa2_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_Kappa2_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_Kappa2_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_Kappa2_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_Kappa2_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_HallKierAlpha_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_HallKierAlpha_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_HallKierAlpha_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_HallKierAlpha_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_HallKierAlpha_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_HallKierAlpha_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_MaxAbsPartialCharge_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MaxAbsPartialCharge_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MaxAbsPartialCharge_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MaxAbsPartialCharge_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MaxAbsPartialCharge_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_MaxAbsPartialCharge_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_logKp_pottsguy_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_logKp_pottsguy_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_logKp_pottsguy_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_logKp_pottsguy_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_logKp_pottsguy_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_logKp_pottsguy_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_max_alkyl_chain_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_max_alkyl_chain_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_max_alkyl_chain_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_max_alkyl_chain_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_max_alkyl_chain_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_max_alkyl_chain_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_n_structural_alerts_mean,L3,True,구조경보(SMILES 유래) 집계. 이름의 f_n_ 접두는 개수 집계를 뜻할 뿐이다,chemistry,False
f_n_structural_alerts_max,L3,True,구조경보(SMILES 유래) 집계. 이름의 f_n_ 접두는 개수 집계를 뜻할 뿐이다,chemistry,False
f_n_structural_alerts_min,L3,True,구조경보(SMILES 유래) 집계. 이름의 f_n_ 접두는 개수 집계를 뜻할 뿐이다,chemistry,False
f_n_structural_alerts_range,L3,True,구조경보(SMILES 유래) 집계. 이름의 f_n_ 접두는 개수 집계를 뜻할 뿐이다,chemistry,False
f_n_structural_alerts_std,L3,True,구조경보(SMILES 유래) 집계. 이름의 f_n_ 접두는 개수 집계를 뜻할 뿐이다,chemistry,False
f_n_structural_alerts_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_NumHeteroatoms_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHeteroatoms_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHeteroatoms_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHeteroatoms_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHeteroatoms_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_NumHeteroatoms_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_RingCount_mean,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_RingCount_max,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_RingCount_min,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_RingCount_range,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_RingCount_std,L3,True,RDKit 디스크립터 6모멘트 집계 · 이온성 · logKp · 지문 유사도,chemistry,False
f_RingCount_wmean,L2L3결합,True,디스크립터(L3)를 성분 농도(L2)로 가중평균한 값. 두 정보원이 다 필요,chemistry,False
f_pct_active_presumed,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_active_presumed,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_water,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_water,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_surfactant,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_surfactant,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_solvent,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_solvent,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_synergist,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_synergist,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_carrier_inert,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_carrier_inert,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_propellant,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_propellant,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_ph_adjuster,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_ph_adjuster,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_preservative,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_preservative,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_n_thickener,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_fragrance_dye,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_fragrance_dye,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_unknown,L2,True,조성표 유래 — 역할별 농도합·최대농도·조성 다양성(f_shannon·f_simpson),chemistry,False
f_n_unknown,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_surf_anionic,L2L3결합,True,"전하 클래스는 RDKit SMARTS 매칭(구조), 농도합은 조성표. 두 정보원이 다 필요 — 성분 5287행 중 99.1%가 surf_class_src=='structure'",chemistry,False
f_n_surf_anionic,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_surf_cationic,L2L3결합,True,"전하 클래스는 RDKit SMARTS 매칭(구조), 농도합은 조성표. 두 정보원이 다 필요 — 성분 5287행 중 99.1%가 surf_class_src=='structure'",chemistry,False
f_n_surf_cationic,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_surf_nonionic,L2L3결합,True,"전하 클래스는 RDKit SMARTS 매칭(구조), 농도합은 조성표. 두 정보원이 다 필요 — 성분 5287행 중 99.1%가 surf_class_src=='structure'",chemistry,False
f_n_surf_nonionic,미사용,False,"feature_role=ambiguous, 학습 미사용",ambiguous,False
f_pct_surf_total,L2L3결합,True,"전하 클래스는 RDKit SMARTS 매칭(구조), 농도합은 조성표. 두 정보원이 다 필요 — 성분 5287행 중 99.1%가 surf_class_src=='structure'",chemistry,False
f_surf_anionic_nonionic,L2L3결합,True,"전하 클래스는 RDKit SMARTS 매칭(구조), 농도합은 조성표. 두 정보원이 다 필요 — 성분 5287행 중 99.1%가 surf_class_src=='structure'",chemistry,False
f_surf_charge_imbalance,L2L3결합,True,"전하 클래스는 RDKit SMARTS 매칭(구조), 농도합은 조성표. 두 정보원이 다 필요 — 성분 5287행 중 99.1%가 surf_class_src=='structure'",chemistry,False
