Formulation_ID,endpoint,원본,정본,정정근거,출처
MIX505,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX506,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX507,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX508,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX515,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX521,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX523,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX525,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX533,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX54,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX549,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX552,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX556,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX561,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX57,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX578,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX59,skin,2A,2,2A 는 눈 전용 범주. 출처 EPA 피부 II(72h 심한 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2A 는 없다,ntp_measured
MIX611,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX79,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX81,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX832,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX9,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX91,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
MIX95,skin,2B,2,2B 는 눈 전용 범주. 출처 EPA 피부 III(72h 중등도 자극) → GHS Skin Irrit. 2. 어느 관할에도 피부 2B 는 없다,ntp_measured
